,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
0,HDS5C4040ALE630,4.000787030016,77.0,6837.0,164172.0,0.0,0.0,0.0010342095012961198,HGST
1,HDS724040ALE640,4.000787030016,40.0,3640.0,87402.0,0.0,0.0,0.0005372516889849973,HGST
2,HMS5C4040ALE640,4.000787030016764,7066.0,641327.0,15398424.0,9.0,0.5120004488771058,0.09490551085919977,HGST
3,HMS5C4040BLE640,4.000787030017028,9421.0,800552.0,19221370.0,14.0,0.6380398483562826,0.12653620404819146,HGST
4,HUH728080ALE600,8.00156322201599,45.0,4095.0,98327.0,0.0,0.0,0.0006044081501081219,HGST
5,HDS5C3030ALA630,3.0005929820162027,4492.0,408260.0,9803042.0,13.0,1.1616802213027344,0.06033336467301519,Hitachi
6,HDS5C3030BLE630,3.0005929820159993,1.0,91.0,2186.0,0.0,0.0,1.3431292224624931e-05,Hitachi
7,HDS5C4040ALE630,4.000787030016,2629.0,239036.0,5739713.0,4.0,0.6104834858467661,0.03531086725853894,Hitachi
8,HDS722020ALA330,2.0003989340160038,230.0,6147.0,133231.0,0.0,0.0,0.003089197211663734,Hitachi
9,HDS723030ALA640,3.0005929820159802,987.0,89428.0,2147272.0,9.0,3.671635451866368,0.013256685425704807,Hitachi
10,HDS723030BLE640,3.000592982015999,9.0,819.0,19666.0,0.0,0.0,0.00012088163002162439,Hitachi
11,HDS724040ALE640,4.000787030016,3.0,273.0,6557.0,0.0,0.0,4.029387667387479e-05,Hitachi
12,HDT725025VLA380,0.25,1.0,91.0,2187.0,0.0,0.0,1.3431292224624931e-05,Hitachi
13,ST1000LM024 HN,1.000204886016,1.0,58.0,1394.0,0.0,0.0,1.3431292224624931e-05,Seagate
14,ST250LM004 HN,0.2500593500159997,31.0,2821.0,65791.0,0.0,0.0,0.00041637005896337287,Seagate
15,ST31500541AS,1.500301910016004,41.0,3731.0,83909.0,0.0,0.0,0.0005506829812096222,Seagate
16,ST3160316AS,0.1600418856959998,40.0,3495.0,83923.0,0.0,0.0,0.0005372516889849973,Seagate
17,ST3160318AS,0.16004188569599984,16.0,1244.0,29865.0,0.0,0.0,0.0002149006755939989,Seagate
18,ST320LT007,0.3200729333760001,10.0,853.0,20695.0,1.0,42.329064991543845,0.00013431292224624932,Seagate
19,ST33000651AS,3.0005929820160016,1.0,91.0,1870.0,0.0,0.0,1.3431292224624931e-05,Seagate
20,ST3500320AS,0.5001078620160009,1.0,91.0,2185.0,0.0,0.0,1.3431292224624931e-05,Seagate
