,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
0,HDS724040ALE640,4.000787030016,42.0,3780.0,90526.0,0.0,0.0,0.0011527377521613833,HGST
1,HMS5C4040ALE640,4.000787030016,1305.0,23527.0,564672.0,1.0,1.5513430805848352,0.03581720872787155,HGST
2,HMS5C4040BLE640,4.000787030016,2888.0,175204.0,4182643.0,5.0,1.0471847585366478,0.07926444352957321,HGST
3,HDS5C3030ALA630,3.0005929820162054,4594.0,413277.0,9918080.0,2.0,0.17664709298573916,0.12608755317689035,Hitachi
4,HDS5C3030BLE630,3.0005929820159998,1.0,90.0,2161.0,0.0,0.0,2.7446136956223412e-05,Hitachi
5,HDS5C4040ALE630,4.000787030016,2588.0,228910.0,5492789.0,6.0,0.9568909346417639,0.07103060244270619,Hitachi
6,HDS722020ALA330,2.000398934015992,4719.0,423641.0,10165153.0,13.0,1.1202979433757663,0.12951832029641827,Hitachi
7,HDS723020BLA642,2.0003989340160033,10.0,900.0,21593.0,0.0,0.0,0.0002744613695622341,Hitachi
8,HDS723030ALA640,3.000592982015976,1025.0,91945.0,2206606.0,3.0,1.1909692985517124,0.028132290380129,Hitachi
9,HDS723030BLE640,3.0005929820159993,10.0,900.0,21598.0,0.0,0.0,0.0002744613695622341,Hitachi
10,HDT721010SLA360,1.0002048860159996,1.0,68.0,1627.0,0.0,0.0,2.7446136956223412e-05,Hitachi
11,HDT725025VLA380,0.25,1.0,90.0,2161.0,0.0,0.0,2.7446136956223412e-05,Hitachi
12,HD154UI,1.5003019100160018,3.0,270.0,6464.0,0.0,0.0,8.233841086867023e-05,Samsung
13,ST1500DL001,1.500301910016002,1.0,90.0,2156.0,0.0,0.0,2.7446136956223412e-05,Seagate
14,ST1500DL003,1.5003019100160013,45.0,3735.0,89136.0,3.0,29.483037156704363,0.0012350761630300535,Seagate
15,ST1500DM003,1.5003019100160013,4.0,265.0,6346.0,0.0,0.0,0.00010978454782489365,Seagate
16,ST2000DL001,2.000398934016003,2.0,180.0,4321.0,0.0,0.0,5.4892273912446824e-05,Seagate
17,ST2000DL003,2.000398934016003,2.0,180.0,4321.0,0.0,0.0,5.4892273912446824e-05,Seagate
18,ST2000DM001,2.0003989340160016,3.0,153.0,3685.0,1.0,237.72048846675713,8.233841086867023e-05,Seagate
19,ST2000VN000,2.000398934016003,4.0,360.0,8629.0,0.0,0.0,0.00010978454782489365,Seagate
20,ST250LM004 HN,0.2500593500159999,37.0,3187.0,76447.0,1.0,11.45891925124596,0.0010155070673802662,Seagate
21,ST250LT007,0.2500593500160001,9.0,539.0,13093.0,1.0,66.90598029481403,0.0002470152326060107,Seagate
22,ST3000DM001,3.0005929820161925,4112.0,355747.0,8538275.0,306.0,31.394631819659125,0.11285851516399067,Seagate
23,ST31500341AS,1.5003019100159942,423.0,33681.0,806112.0,25.0,27.167440752649757,0.011609715932482502,Seagate
24,ST31500541AS,1.5003019100160084,1794.0,153570.0,3679117.0,38.0,9.047823159741862,0.0492383696994648,Seagate
25,ST3160316AS,0.16004188569599978,64.0,5760.0,138215.0,0.0,0.0,0.0017565527651982984,Seagate
26,ST3160318AS,0.16004188569599978,52.0,4680.0,112311.0,0.0,0.0,0.0014271991217236174,Seagate
27,ST32000542AS,2.000398934016004,214.0,16052.0,385490.0,4.0,9.089729954084412,0.00587347330863181,Seagate
28,ST320005XXXX,2.0003989340160016,6.0,306.0,7360.0,5.0,595.108695652174,0.00016467682173734047,Seagate
29,ST320LT007,0.3200729333760001,94.0,8312.0,202142.0,1.0,4.33358728022875,0.0025799368738850005,Seagate
30,ST33000651AS,3.0005929820159807,329.0,26112.0,625920.0,4.0,5.598159509202454,0.009029779058597502,Seagate
