,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
0,HDS5C4040ALE630,4.000787030016,39.0,1925.0,46205.0,2.0,37.91797424521156,0.0007866868381240545,HGST
1,HDS724040ALE640,4.000787030016,42.0,3774.0,90537.0,2.0,19.351204479936378,0.0008472012102874433,HGST
2,HMS5C4040ALE640,-16.664383592373177,7115.0,638971.0,15334930.0,19.0,1.0853652413150892,0.14351991931417044,HGST
3,HMS5C4040BLE640,4.000787030016,3100.0,278780.0,6690760.0,4.0,0.5237073217392344,0.06253151790216843,HGST
4,HUH728080ALE600,8.00156322201599,45.0,4050.0,97200.0,0.0,0.0,0.000907715582450832,HGST
5,HDS5C3030ALA630,3.0005929820162054,4597.0,412829.0,9908346.0,19.0,1.6797960022792906,0.09272818961169944,Hitachi
6,HDS5C3030BLE630,3.0005929820159998,1.0,90.0,2161.0,0.0,0.0,2.0171457387796268e-05,Hitachi
7,HDS5C4040ALE630,4.000787030016,2653.0,238591.0,5726354.0,5.0,0.7648846019648803,0.0535148764498235,Hitachi
8,HDS722020ALA330,2.0003989340159842,4664.0,417025.0,10007989.0,55.0,4.814153972391456,0.0940796772566818,Hitachi
9,HDS723020BLA642,2.000398934016003,9.0,739.0,17734.0,1.0,49.39663922408933,0.0001815431164901664,Hitachi
10,HDS723030ALA640,3.000592982015977,1013.0,90744.0,2177922.0,7.0,2.815527828820316,0.02043368633383762,Hitachi
11,HDS723030BLE640,3.0005929820159993,10.0,880.0,21119.0,0.0,0.0,0.00020171457387796267,Hitachi
12,HDS724040ALE640,4.000787030016,3.0,270.0,6481.0,0.0,0.0,6.051437216338881e-05,Hitachi
13,HDT725025VLA380,0.25,1.0,90.0,2161.0,0.0,0.0,2.0171457387796268e-05,Hitachi
14,HD154UI,1.5003019100160024,1.0,80.0,1920.0,0.0,0.0,2.0171457387796268e-05,Samsung
15,ST1500DL001,1.500301910016002,2.0,155.0,3721.0,0.0,0.0,4.0342914775592536e-05,Seagate
16,ST1500DL003,1.5003019100160015,6.0,397.0,9461.0,2.0,185.18127047880776,0.00012102874432677762,Seagate
17,ST1500DM003,1.5003019100160018,3.0,226.0,5426.0,0.0,0.0,6.051437216338881e-05,Seagate
18,ST2000DL001,2.0003989340160007,1.0,5.0,122.0,0.0,0.0,2.0171457387796268e-05,Seagate
19,ST2000DL003,2.000398934016,2.0,39.0,937.0,0.0,0.0,4.0342914775592536e-05,Seagate
20,ST2000VN000,2.0003989340160016,7.0,302.0,7202.0,2.0,243.2657595112469,0.00014120020171457388,Seagate
21,ST250LM004 HN,0.2500593500159999,37.0,3243.0,77835.0,0.0,0.0,0.0007463439233484619,Seagate
22,ST250LT007,0.2500593500159998,4.0,360.0,8750.0,0.0,0.0,8.068582955118507e-05,Seagate
23,ST3000DM001,3.0005929820160198,539.0,33728.0,804251.0,36.0,39.21163915245365,0.010872415532022188,Seagate
24,ST31500341AS,1.5003019100159958,259.0,19063.0,456829.0,11.0,21.093231821972772,0.0052244074634392335,Seagate
25,ST31500541AS,1.5003019100160249,1593.0,131821.0,3149450.0,46.0,12.794614932766038,0.032133131618759456,Seagate
26,ST3160316AS,0.16004188569599978,51.0,4293.0,103037.0,3.0,25.5054009724662,0.0010287443267776096,Seagate
27,ST3160318AS,0.16004188569599978,50.0,4399.0,105581.0,2.0,16.593894734848128,0.0010085728693898135,Seagate
28,ST32000542AS,2.0003989340160024,83.0,1646.0,39553.0,1.0,22.14749829342907,0.0016742309631870903,Seagate
29,ST320005XXXX,2.000398934016,2.0,43.0,1035.0,1.0,846.3768115942029,4.0342914775592536e-05,Seagate
30,ST320LT007,0.3200729333760001,84.0,7436.0,180646.0,1.0,4.84926319984943,0.0016944024205748866,Seagate
31,ST33000651AS,3.000592982015984,234.0,17750.0,425975.0,3.0,6.169376137097247,0.004720121028744327,Seagate
32,ST3500320AS,0.5001078620160009,1.0,90.0,2161.0,0.0,0.0,2.0171457387796268e-05,Seagate
33,ST4000DM000,4.000787030017403,17922.0,1465609.0,36327719.0,161.0,3.882324678849228,0.3615128593040847,Seagate
34,ST4000DX000,4.000787030016,175.0,15680.0,376346.0,1.0,2.3276453051181627,0.0035300050428643467,Seagate
35,ST500LM012 HN,0.5001078620159974,304.0,24157.0,579611.0,1.0,1.5113584800840563,0.006132123045890066,Seagate
36,ST6000DX000,6.001175126015897,1900.0,161840.0,3888572.0,16.0,3.604407993474211,0.03832576903681291,Seagate
37,ST9250315AS,0.2500593500160001,61.0,5453.0,133516.0,2.0,13.122022828724647,0.0012304589006555723,Seagate
38,ST9320325AS,0.3200729333760001,24.0,2160.0,52895.0,0.0,0.0,0.00048411497730711046,Seagate
39,DT01ACA300,3.0005929820160016,51.0,4408.0,105778.0,1.0,8.281495206942843,0.0010287443267776096,Toshiba
40,MD04ABA400V,4.000787030016,146.0,8073.0,193139.0,1.0,4.535593536261449,0.002945032778618255,Toshiba
41,MD04ABA500V,5.000981078016004,46.0,4049.0,97162.0,1.0,9.015870402009016,0.0009278870398386283,Toshiba
42,WD1001FALS,1.000204886015999,2.0,112.0,2647.0,0.0,0.0,4.0342914775592536e-05,Western Digital
43,WD10EACS,1.0002048860159989,58.0,4851.0,114311.0,2.0,15.326608987761459,0.0011699445284921836,Western Digital
44,WD10EADS,1.000204886015994,389.0,29607.0,687582.0,10.0,12.7402986116565,0.007846696923852748,Western Digital
45,WD10EADX,1.0002048860159984,9.0,791.0,18657.0,0.0,0.0,0.0001815431164901664,Western Digital
46,WD10EARS,1.0002048860159984,4.0,292.0,6978.0,0.0,0.0,8.068582955118507e-05,Western Digital
47,WD10EARX,1.0002048860159982,3.0,269.0,6427.0,0.0,0.0,6.051437216338881e-05,Western Digital
48,WD15EARS,1.5003019100160024,1.0,90.0,2147.0,0.0,0.0,2.0171457387796268e-05,Western Digital
49,WD1600AAJB,0.1600418856959999,7.0,630.0,14990.0,0.0,0.0,0.00014120020171457388,Western Digital
50,WD1600AAJS,0.16004188569599978,72.0,5441.0,129137.0,3.0,20.35048049745619,0.0014523449319213313,Western Digital
51,WD1600BPVT,0.16004188569599986,2.0,180.0,4317.0,0.0,0.0,4.0342914775592536e-05,Western Digital
52,WD20EFRX,2.0003989340160038,104.0,7195.0,171330.0,2.0,10.225879880931537,0.0020978315683308118,Western Digital
53,WD2500AAJB,0.2500593500159998,1.0,90.0,2157.0,0.0,0.0,2.0171457387796268e-05,Western Digital
54,WD2500AAJS,0.2500593500159998,3.0,189.0,4533.0,0.0,0.0,6.051437216338881e-05,Western Digital
55,WD2500BEVT,0.2500593500159998,1.0,90.0,2113.0,0.0,0.0,2.0171457387796268e-05,Western Digital
56,WD2500BPVT,0.2500593500159999,8.0,689.0,16519.0,0.0,0.0,0.00016137165910237015,Western Digital
57,WD30EFRX,3.0005929820159647,1133.0,96910.0,2316758.0,27.0,10.20909391485861,0.022854261220373172,Western Digital
58,WD3200AAJB,0.3200729333760001,2.0,180.0,4315.0,0.0,0.0,4.0342914775592536e-05,Western Digital
