model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
HGST HDS5C4040ALE630,4.00078703002,6.0,520.0,520 days 00:00:00.000000000,12540.0,12482.0,0.0,0.000125541397276,0.0
HGST HDS724040ALE640,4.00078703002,42.0,14952.0,15288 days 00:00:00.000000000,472958.0,366678.0,0.0,0.00087878978093,0.0
HGST HMS5C4040ALE640,4.00078703002,7167.0,906814.0,-83629 days +02:07:11.452241920,26266841.0,23604284.0,1.29891675596,0.149959199046,35.0
HGST HMS5C4040BLE640,4.00078703002,3115.0,702397.0,80670 days 01:16:18.871345152,18065824.0,17102400.0,0.512208812798,0.0651769087523,10.0
Hitachi HDS5C3030ALA630,3.00059298202,4623.0,1663064.0,-36382 days +03:23:30.323587072,106763894.0,40110637.0,0.589669019717,0.096729646601,27.0
Hitachi HDS5C3030BLE630,3.00059298202,1.0,364.0,364 days 00:00:00.000000000,15937.0,8732.0,0.0,2.09235662126e-05,0.0
Hitachi HDS5C4040ALE630,4.00078703002,2667.0,926414.0,88677 days 01:41:45.161793536,40754167.0,22621075.0,0.890673851707,0.0558031510891,23.0
Hitachi HDS722020ALA330,2.00039893402,4737.0,1702723.0,1072 days 03:23:30.323587072,160469662.0,41004279.0,1.06818120128,0.0991149331492,50.0
Hitachi HDS723020BLA642,2.00039893402,10.0,3481.0,3490 days 00:00:00.000000000,176910.0,83723.0,10.4630746629,0.000209235662126,1.0
Hitachi HDS723030ALA640,3.00059298202,1039.0,369628.0,-55304 days +00:50:52.580896768,27822389.0,8918680.0,2.25907869774,0.0217395852949,23.0
Hitachi HDS723030BLE640,3.00059298202,10.0,3326.0,3328 days 00:00:00.000000000,134210.0,79817.0,0.0,0.000209235662126,0.0
Hitachi HDS724040ALE640,4.00078703002,1.0,56.0,55 days 00:00:00.000000000,1330.0,1320.0,0.0,2.09235662126e-05,0.0
Hitachi HDT721010SLA360,1.00020488602,15.0,1009.0,1051 days 00:00:00.000000000,604350.0,24949.0,0.0,0.000313853493189,0.0
Hitachi HDT725025VLA380,0.25,1.0,319.0,320 days 00:00:00.000000000,48270.0,7680.0,0.0,2.09235662126e-05,0.0
SAMSUNG HD103UJ,1.00020488602,14.0,770.0,756 days 00:00:00.000000000,588295.0,18137.0,0.0,0.000292929926977,0.0
SAMSUNG HD154UI,1.50030191002,4.0,1146.0,1145 days 00:00:00.000000000,41772.0,27461.0,31.8997851498,8.36942648505e-05,1.0
ST1500DL001,1.50030191002,2.0,558.0,728 days 00:00:00.000000000,29621.0,13979.0,0.0,4.18471324253e-05,0.0
ST1500DL003,1.50030191002,55.0,14376.0,15685 days 00:00:00.000000000,769545.0,357527.0,63.7042796768,0.00115079614169,26.0
ST1500DM003,1.50030191002,5.0,1162.0,1246 days 00:00:00.000000000,73746.0,28806.0,0.0,0.000104617831063,0.0
ST2000DL001,2.00039893402,2.0,694.0,694 days 00:00:00.000000000,27124.0,16652.0,52.6062935383,4.18471324253e-05,1.0
ST2000DL003,2.00039893402,2.0,546.0,546 days 00:00:00.000000000,20830.0,13087.0,66.9366546955,4.18471324253e-05,1.0
ST2000DM001,2.00039893402,7.0,512.0,517 days 00:00:00.000000000,68779.0,11856.0,73.8866396761,0.000146464963488,1.0
ST2000VN000,2.00039893402,5.0,1482.0,1481 days 00:00:00.000000000,49479.0,35523.0,0.0,0.000104617831063,0.0
ST250LM004 HN,0.250059350016,38.0,11596.0,11655 days 00:00:00.000000000,484205.0,279551.0,3.13359637419,0.00079509551608,1.0
ST250LT007,0.250059350016,9.0,1895.0,1935 days 00:00:00.000000000,107289.0,47015.0,74.5294055089,0.000188312095914,4.0
ST3000DM001,3.00059298202,4350.0,1142159.0,76870 days 02:07:11.452241920,81973421.0,27468895.0,42.9885512322,0.0910175130249,1348.0
ST31500341AS,1.50030191002,574.0,141152.0,-72381 days +00:25:26.290448384,22667372.0,3382580.0,23.5666266578,0.012010127006,91.0
ST31500541AS,1.50030191002,1949.0,621143.0,1879 days 01:16:18.871345152,80404456.0,15069721.0,9.41702902131,0.0407800305484,162.0
ST3160316AS,0.160041885696,64.0,19109.0,19205 days 00:00:00.000000000,1820403.0,460849.0,7.60335814985,0.00133910823761,4.0
ST3160318AS,0.160041885696,53.0,16317.0,16386 days 00:00:00.000000000,1791729.0,393255.0,8.91024907503,0.00110894900927,4.0
ST32000542AS,2.00039893402,292.0,48938.0,49198 days 00:00:00.000000000,6344260.0,1167376.0,13.507216184,0.00610968133409,18.0
