model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
HGST HDS5C4040ALE630,4.00078703002,8.0,552.0,544 days 00:00:00.000000000,25762.0,13050.0,0.0,0.000174581005587,0.0
HGST HDS724040ALE640,4.00078703002,42.0,3780.0,3738 days 00:00:00.000000000,563639.0,89667.0,0.0,0.00091655027933,0.0
HGST HMS5C4040ALE640,4.00078703002,7129.0,634952.0,-12689 days +01:16:18.871345152,41638090.0,15059041.0,0.814394488998,0.155573498603,14.0
HGST HMS5C4040BLE640,4.00078703002,3103.0,279124.0,62517 days 00:25:26.290448384,24749818.0,6621187.0,0.396907684377,0.0677156075419,3.0
HGST HUH728080ALE600,8.00156322202,46.0,2475.0,2429 days 00:00:00.000000000,58641.0,58230.0,15.0437918599,0.00100384078212,1.0
Hitachi HDS5C3030ALA630,3.00059298202,4604.0,413602.0,-18007 days +00:50:52.580896768,116131655.0,9811284.0,0.803564548738,0.100471368715,9.0
Hitachi HDS5C3030BLE630,3.00059298202,1.0,90.0,89 days 00:00:00.000000000,18090.0,2129.0,0.0,2.18226256983e-05,0.0
Hitachi HDS5C4040ALE630,4.00078703002,2660.0,237941.0,21777 days 00:25:26.290448384,46365931.0,5644196.0,1.0864257726,0.0580481843575,7.0
Hitachi HDS722020ALA330,2.00039893402,4683.0,416941.0,-14750 days +00:50:52.580896768,169127238.0,9888998.0,1.77166584522,0.102195356145,20.0
Hitachi HDS723020BLA642,2.00039893402,9.0,810.0,801 days 00:00:00.000000000,190983.0,19216.0,0.0,0.000196403631285,0.0
Hitachi HDS723030ALA640,3.00059298202,1018.0,91368.0,90350 days 00:00:00.000000000,29516349.0,2167398.0,2.0208563448,0.0222154329609,5.0
Hitachi HDS723030BLE640,3.00059298202,8.0,687.0,712 days 00:00:00.000000000,134368.0,16331.0,0.0,0.000174581005587,0.0
Hitachi HDS724040ALE640,4.00078703002,3.0,237.0,234 days 00:00:00.000000000,6972.0,5602.0,0.0,6.5467877095e-05,0.0
Hitachi HDT725025VLA380,0.25,1.0,90.0,89 days 00:00:00.000000000,50429.0,2134.0,0.0,2.18226256983e-05,0.0
SAMSUNG HD154UI,1.50030191002,2.0,159.0,157 days 00:00:00.000000000,27888.0,3766.0,0.0,4.36452513966e-05,0.0
ST1500DL001,1.50030191002,2.0,179.0,177 days 00:00:00.000000000,33915.0,4246.0,0.0,4.36452513966e-05,0.0
ST1500DL003,1.50030191002,24.0,1600.0,1598 days 00:00:00.000000000,436065.0,38106.0,229.885057471,0.00052374301676,10.0
ST1500DM003,1.50030191002,3.0,262.0,267 days 00:00:00.000000000,56283.0,6409.0,0.0,6.5467877095e-05,0.0
ST2000DL001,2.00039893402,1.0,90.0,89 days 00:00:00.000000000,16238.0,2136.0,0.0,2.18226256983e-05,0.0
ST2000DL003,2.00039893402,2.0,101.0,99 days 00:00:00.000000000,14664.0,2374.0,0.0,4.36452513966e-05,0.0
ST2000VN000,2.00039893402,5.0,414.0,409 days 00:00:00.000000000,59410.0,9810.0,0.0,0.000109113128492,0.0
ST250LM004 HN,0.250059350016,37.0,3284.0,3247 days 00:00:00.000000000,554942.0,77896.0,11.2457635822,0.000807437150838,1.0
ST250LT007,0.250059350016,4.0,360.0,356 days 00:00:00.000000000,59301.0,8650.0,0.0,8.72905027933e-05,0.0
ST3000DM001,3.00059298202,1164.0,64365.0,64650 days 00:00:00.000000000,24132332.0,1526864.0,26.9650735101,0.0254015363128,47.0
ST31500341AS,1.50030191002,307.0,26499.0,26213 days 00:00:00.000000000,13389535.0,628599.0,32.0522304363,0.00669954608939,23.0
ST31500541AS,1.50030191002,1636.0,135091.0,-78271 days +00:25:26.290448384,72349084.0,3243029.0,12.1553029591,0.0357018156425,45.0
ST3160316AS,0.160041885696,51.0,4465.0,4414 days 00:00:00.000000000,1606380.0,105888.0,8.27289211242,0.00111295391061,1.0
ST3160318AS,0.160041885696,48.0,4320.0,4272 days 00:00:00.000000000,1775495.0,102489.0,0.0,0.00104748603352,0.0
ST32000542AS,2.00039893402,81.0,3972.0,3891 days 00:00:00.000000000,1983334.0,93375.0,0.0,0.00176763268156,0.0
ST320005XXXX,2.00039893402,2.0,22.0,20 days 00:00:00.000000000,56773.0,481.0,0.0,4.36452513966e-05,0.0
ST320LT007,0.320072933376,85.0,7565.0,7480 days 00:00:00.000000000,1517462.0,181844.0,0.0,0.00185492318436,0.0
ST33000651AS,3.00059298202,279.0,23908.0,23933 days 00:00:00.000000000,7734116.0,574093.0,3.05177035776,0.00608851256983,2.0
ST3500320AS,0.500107862016,1.0,90.0,89 days 00:00:00.000000000,24410.0,2135.0,0.0,2.18226256983e-05,0.0
ST4000DM000,4.00078703002,14909.0,1253426.0,-41412 days +02:32:37.742690304,126933921.0,29722301.0,3.09464600335,0.325353526536,105.0
ST4000DX000,4.00078703002,177.0,15786.0,15609 days 00:00:00.000000000,3005508.0,374414.0,4.67931220521,0.0038626047486,2.0
ST500LM012 HN,0.500107862016,232.0,17853.0,17715 days 00:00:00.000000000,904718.0,424457.0,0.0,0.00506284916201,0.0
ST6000DX000,6.00117512602,496.0,15117.0,14624 days 00:00:00.000000000,539430.0,350324.0,2.50054235508,0.0108240223464,1.0
ST9250315AS,0.250059350016,62.0,5495.0,5433 days 00:00:00.000000000,749460.0,133021.0,0.0,0.0013530027933,0.0
ST9320325AS,0.320072933376,24.0,2160.0,2136 days 00:00:00.000000000,234773.0,52306.0,0.0,0.00052374301676,0.0
TOSHIBA DT01ACA300,3.00059298202,48.0,4152.0,4104 days 00:00:00.000000000,825446.0,98449.0,0.0,0.00104748603352,0.0
TOSHIBA MD04ABA400V,4.00078703002,45.0,1260.0,1215 days 00:00:00.000000000,34875.0,29115.0,0.0,0.000982018156425,0.0
TOSHIBA MD04ABA500V,5.00098107802,45.0,1260.0,1215 days 00:00:00.000000000,34031.0,29125.0,0.0,0.000982018156425,0.0
WDC WD1001FALS,1.00020488602,2.0,180.0,178 days 00:00:00.000000000,31346.0,4168.0,0.0,4.36452513966e-05,0.0
WDC WD10EACS,1.00020488602,84.0,5042.0,5007 days 00:00:00.000000000,3843861.0,119768.0,0.0,0.00183310055866,0.0
WDC WD10EADS,1.00020488602,478.0,33523.0,35056 days 00:00:00.000000000,21788210.0,822304.0,10.652994513,0.0104312150838,10.0
WDC WD10EADX,1.00020488602,23.0,1437.0,1459 days 00:00:00.000000000,350464.0,34154.0,51.2970662294,0.000501920391061,2.0
WDC WD10EARS,1.00020488602,5.0,321.0,352 days 00:00:00.000000000,142742.0,8229.0,0.0,0.000109113128492,0.0
WDC WD10EARX,1.00020488602,3.0,269.0,266 days 00:00:00.000000000,66948.0,6345.0,0.0,6.5467877095e-05,0.0
WDC WD15EARS,1.50030191002,1.0,90.0,89 days 00:00:00.000000000,38687.0,2122.0,0.0,2.18226256983e-05,0.0
WDC WD1600AAJB,0.160041885696,8.0,714.0,706 days 00:00:00.000000000,219019.0,16796.0,0.0,0.000174581005587,0.0
WDC WD1600AAJS,0.160041885696,71.0,5597.0,5526 days 00:00:00.000000000,1816536.0,132004.0,6.63616254053,0.00154940642458,1.0
WDC WD1600BPVT,0.160041885696,2.0,180.0,178 days 00:00:00.000000000,18091.0,4264.0,0.0,4.36452513966e-05,0.0
WDC WD20EFRX,2.00039893402,51.0,3626.0,3575 days 00:00:00.000000000,164142.0,85648.0,0.0,0.00111295391061,0.0
WDC WD2500AAJB,0.250059350016,1.0,90.0,89 days 00:00:00.000000000,21089.0,2130.0,0.0,2.18226256983e-05,0.0
WDC WD2500AAJS,0.250059350016,3.0,270.0,267 days 00:00:00.000000000,39919.0,6398.0,136.917786808,6.5467877095e-05,1.0
WDC WD2500BEVT,0.250059350016,1.0,90.0,89 days 00:00:00.000000000,12375.0,2033.0,0.0,2.18226256983e-05,0.0
WDC WD2500BPVT,0.250059350016,8.0,712.0,704 days 00:00:00.000000000,129976.0,16871.0,0.0,0.000174581005587,0.0
WDC WD30EFRX,3.00059298202,1120.0,76594.0,86694 days 00:00:00.000000000,9148652.0,1938907.0,12.198625308,0.0244413407821,27.0
WDC WD30EZRX,3.00059298202,1.0,43.0,42 days 00:00:00.000000000,2911.0,1006.0,0.0,2.18226256983e-05,0.0
WDC WD3200AAJB,0.320072933376,3.0,269.0,266 days 00:00:00.000000000,62955.0,6372.0,0.0,6.5467877095e-05,0.0
