serial_number,n_obs,failure,runtime_min,runtime_max,uptime
PL1310LAG0EMWA,467,0.0,10.0,11219.0,11209.0
PL1310LAG0HBJA,436,0.0,12.0,10501.0,10489.0
PL1311LAG38K1H,564,0.0,14.0,13552.0,13538.0
PL1321LAG33K1H,620,0.0,9.0,14891.0,14882.0
PL1321LAG5RW1H,371,0.0,10.0,8890.0,8880.0
PL1321LAG6NKRH,560,0.0,3.0,14020.0,14017.0
PL1321LAG77DKH,486,0.0,14.0,11703.0,11689.0
PL1321LAG77EWH,513,0.0,12.0,12349.0,12337.0
PL1321LAG8424H,403,0.0,8.0,9656.0,9648.0
PL1321LAG842WH,534,0.0,13.0,12854.0,12841.0
PL1321LAGA3DXH,598,0.0,14.0,14368.0,14354.0
PL1321LAGAVU7H,2,1.0,12.0,36.0,24.0
PL1321LAGAY6PH,638,0.0,13.0,15327.0,15314.0
PL1331LAG6G2RH,430,0.0,12.0,10356.0,10344.0
PL1331LAG7Y5TH,574,0.0,7.0,13783.0,13776.0
PL1331LAG7ZKMH,364,0.0,12.0,8724.0,8712.0
PL1331LAG826KH,633,0.0,10.0,15201.0,15191.0
PL1331LAG9Y8WH,424,0.0,9.0,10159.0,10150.0
PL1331LAGAEJ8H,812,0.0,12.0,19525.0,19513.0
PL1331LAGB5EHH,814,0.0,8.0,19568.0,19560.0
PL1331LAGB7WEH,549,0.0,7.0,13208.0,13201.0
PL1331LAGBEERH,33,0.0,15.0,783.0,768.0
PL1331LAGBKTUH,814,0.0,8.0,19568.0,19560.0
PL1331LAGBN1XH,345,0.0,9.0,8265.0,8256.0
PL1331LAGBN59H,507,0.0,14.0,12207.0,12193.0
PL1331LAGBTYRH,834,0.0,10.0,20051.0,20041.0
PL1331LAGDJ3PH,619,0.0,13.0,14894.0,14881.0
PL1331LAGEDLSH,814,0.0,8.0,19568.0,19560.0
PL1331LAGENGBH,335,0.0,7.0,8023.0,8016.0
PL1331LAGEPUPH,390,0.0,13.0,9350.0,9337.0
PL1331LAGEW2LH,812,0.0,12.0,19525.0,19513.0
PL1331LAGG3MAH,624,0.0,11.0,15012.0,15001.0
PL1331LAGJV0BH,274,0.0,6.0,6559.0,6553.0
PL1331LAGK43UH,553,0.0,13.0,13309.0,13296.0
PL1331LAGK5UUH,639,0.0,8.0,15370.0,15362.0
PL1331LAGKDZ8H,612,0.0,13.0,14727.0,14714.0
PL1331LAGKL0YH,647,0.0,13.0,15541.0,15528.0
PL1331LAGKLMJH,340,0.0,13.0,8148.0,8135.0
PL1331LAGNJS2H,414,0.0,14.0,9925.0,9911.0
PL1331LAGR4EZH,574,0.0,7.0,13784.0,13777.0
PL1331LAGRAKXH,578,0.0,6.0,13878.0,13872.0
PL1331LAGSBS7H,312,0.0,14.0,7479.0,7465.0
PL1331LAGT7MTH,528,0.0,12.0,12685.0,12673.0
PL1331LAGUB4HH,493,0.0,14.0,11871.0,11857.0
PL1331LAGUVSYH,451,0.0,7.0,10857.0,10850.0
PL1331LAGV26XH,334,0.0,11.0,8004.0,7993.0
PL2310LAG0LAGC,582,0.0,5.0,13973.0,13968.0
PL2311LAG1MKTC,409,0.0,10.0,9802.0,9792.0
PL2321LAG6TA7J,303,0.0,5.0,7253.0,7248.0
PL2331LAG6278J,319,0.0,13.0,7645.0,7632.0
PL2331LAG9RV3J,580,0.0,13.0,13959.0,13946.0
PL2331LAGDJURJ,578,0.0,8.0,13882.0,13874.0
PL2331LAGDLVGJ,613,0.0,10.0,14723.0,14713.0
PL2331LAGDWK2J,542,0.0,15.0,13025.0,13010.0
PL2331LAGGHWZJ,525,0.0,13.0,12615.0,12602.0
PL2331LAGGZ7WJ,520,0.0,13.0,12495.0,12482.0
PL2331LAGH138J,591,0.0,13.0,14221.0,14208.0
PL2331LAGH4L3J,499,0.0,14.0,12016.0,12002.0
PL2331LAGHBWKJ,399,0.0,14.0,9567.0,9553.0
PL2331LAGHDDPJ,620,0.0,9.0,14891.0,14882.0
PL2331LAGHEPWJ,582,0.0,5.0,13974.0,13969.0
PL2331LAGHNJSJ,591,0.0,12.0,14222.0,14210.0
PL2331LAGHX4WJ,31,0.0,8.0,728.0,720.0
PL2331LAGJ2NTJ,567,0.0,12.0,13645.0,13633.0
PL2331LAGJ4DUJ,524,0.0,7.0,12608.0,12601.0
PL2331LAGJ5HRJ,645,0.0,13.0,15494.0,15481.0
PL2331LAGJ5SVJ,567,0.0,13.0,13623.0,13610.0
PL2331LAGJBGKJ,339,0.0,13.0,8125.0,8112.0
PL2331LAGJBGWJ,69,1.0,14.0,1646.0,1632.0
PL2331LAGJDBKJ,584,0.0,6.0,14022.0,14016.0
PL2331LAGJGJLJ,12,1.0,13.0,277.0,264.0
PL2331LAGPABRJ,556,0.0,7.0,13377.0,13370.0
PL2331LAGPT6YJ,578,0.0,8.0,13882.0,13874.0
PL2331LAGU7DGJ,343,0.0,13.0,8221.0,8208.0
PL2331LAGU7TLJ,297,0.0,8.0,7113.0,7105.0
PL2331LAGUKL3J,285,0.0,17.0,6834.0,6817.0
PL2331LAGV3TXJ,584,0.0,11.0,14029.0,14018.0
PL2331LAGWPG0J,464,0.0,10.0,11169.0,11159.0
PL2331LAGYHX9J,284,0.0,14.0,6807.0,6793.0
PL2331LAGYLZZJ,334,0.0,11.0,8004.0,7993.0
