serial_number,n_obs,failure,runtime_min,runtime_max,uptime
PK1331PAHZZM2S,536,1.0,2531.0,15579.0,13048.0
PK1331PAJ286ES,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ28L1S,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ2A5YS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ2L8TS,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ2NLDS,1085,0.0,2530.0,28803.0,26273.0
PK1331PAJ2NU0S,1085,0.0,2531.0,28804.0,26273.0
PK1331PAJ2TKDS,1085,0.0,2531.0,28804.0,26273.0
PK1331PAJ2U6XS,1085,0.0,2530.0,28804.0,26274.0
PK1331PAJ2U9WS,1085,0.0,2531.0,28804.0,26273.0
PK1331PAJ2V6WS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ2VBHS,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ30TUS,1085,0.0,2530.0,28803.0,26273.0
PK1331PAJ314KS,1085,0.0,2531.0,28803.0,26272.0
PK1331PAJ315NS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ31JJS,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ31K5S,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ31L8S,532,1.0,2530.0,15483.0,12953.0
PK1331PAJ31VNS,1085,0.0,2530.0,28804.0,26274.0
PK1331PAJ32H1S,1085,0.0,2530.0,28804.0,26274.0
PK1331PAJ32J4S,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ3391S,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ33BDS,1085,0.0,2530.0,28804.0,26274.0
PK1331PAJ33M0S,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ33Z7S,1085,0.0,2530.0,28804.0,26274.0
PK1331PAJ349YS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ356BS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ35GSS,1085,0.0,2531.0,28803.0,26272.0
PK1331PAJ35HDS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ35HMS,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ35RHS,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ35SXS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ3669S,1085,0.0,2530.0,28804.0,26274.0
PK1331PAJ36UKS,1085,0.0,2530.0,28804.0,26274.0
PK1331PAJ36ZNS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ38XES,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ3A0WS,1085,0.0,2530.0,28805.0,26275.0
PK1331PAJ3A4BS,1085,0.0,2531.0,28804.0,26273.0
PK1331PAJ3A5YS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ3AD1S,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ3HXSS,1085,0.0,2531.0,28805.0,26274.0
PK1331PAJ3KB0S,1085,0.0,2530.0,28804.0,26274.0
