serial_number,n_obs,failure,runtime_min,runtime_max,uptime
PL1331LAG4013H,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG40AJH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AR5H,1089,0.0,9904.0,36183.0,26279.0
PL1331LAG5ASPH,918,0.0,13.0,22050.0,22037.0
PL1331LAG5AUYH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AV3H,1089,0.0,9904.0,36183.0,26279.0
PL1331LAG5AW1H,1085,0.0,2530.0,28804.0,26274.0
PL1331LAG5AWEH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AWGH,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5AWTH,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5AWVH,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5AXBH,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5AXTH,1089,0.0,9903.0,36181.0,26278.0
PL1331LAG5AXUH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AY0H,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AY6H,1089,0.0,9903.0,36182.0,26279.0
PL1331LAG5AY7H,1089,0.0,9905.0,36184.0,26279.0
PL1331LAG5AYDH,1089,0.0,9904.0,36183.0,26279.0
PL1331LAG5AYHH,1085,0.0,2530.0,28804.0,26274.0
PL1331LAG5AYJH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AYLH,1089,0.0,9905.0,36184.0,26279.0
PL1331LAG5AYYH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AZ0H,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AZ7H,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5AZGH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AZNH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5AZWH,1089,0.0,9905.0,36184.0,26279.0
PL1331LAG5AZXH,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5B04H,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5B25H,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5B26H,1089,0.0,9905.0,36184.0,26279.0
PL1331LAG5B32H,1089,0.0,9904.0,36183.0,26279.0
PL1331LAG5B44H,1089,0.0,9904.0,36183.0,26279.0
PL1331LAG5B48H,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5B53H,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5B5KH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5GMJH,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5GTDH,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5GTSH,1085,0.0,2530.0,28804.0,26274.0
PL1331LAG5GUHH,1089,0.0,9904.0,36183.0,26279.0
PL1331LAG5GUKH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5GV0H,1089,0.0,9905.0,36184.0,26279.0
PL1331LAG5GVKH,1089,0.0,9904.0,36183.0,26279.0
PL1331LAG5GVWH,1089,0.0,9904.0,36182.0,26278.0
PL1331LAG5GWYH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5GXLH,1089,0.0,9905.0,36183.0,26278.0
PL1331LAG5GY6H,1089,0.0,9903.0,36182.0,26279.0
PL1331LAG5GY8H,1089,0.0,9905.0,36183.0,26278.0
PL1331LAGNK1UH,909,0.0,32.0,22256.0,22224.0
PL1331LAGNPZVH,902,0.0,31.0,21703.0,21672.0
PL1331LAGNS0GH,937,0.0,10.0,22523.0,22513.0
PL1331LAGNT0SH,889,0.0,31.0,21704.0,21673.0
PL1331LAGNT1KH,869,0.0,14.0,20920.0,20906.0
PL1331LAGNT4VH,932,0.0,8.0,22426.0,22418.0
PL1331LAGP466H,912,0.0,31.0,22255.0,22224.0
PL1331LAGP4EVH,902,0.0,34.0,21706.0,21672.0
PL1331LAGP4GSH,898,0.0,103.0,21680.0,21577.0
PL1331LAGP502H,932,0.0,8.0,22425.0,22417.0
PL1331LAGP594H,778,0.0,3560.0,22231.0,18671.0
PL1331LAGP5DPH,910,0.0,32.0,22255.0,22223.0
PL1331LAGP5L1H,910,0.0,31.0,22255.0,22224.0
PL1331LAGP5LEH,895,0.0,11.0,21516.0,21505.0
PL1331LAGP67JH,902,0.0,33.0,21707.0,21674.0
PL1331LAGP68KH,937,0.0,9.0,22523.0,22514.0
PL1331LAGP68PH,902,0.0,54.0,21727.0,21673.0
PL1331LAGP69RH,933,0.0,8.0,22425.0,22417.0
PL1331LAGP6HAH,898,0.0,102.0,21680.0,21578.0
PL1331LAGP6JMH,889,0.0,54.0,21727.0,21673.0
PL1331LAGP6KSH,898,0.0,102.0,21680.0,21578.0
PL1331LAGP6MRH,925,0.0,32.0,22257.0,22225.0
PL1331LAGP74RH,937,0.0,8.0,22522.0,22514.0
PL1331LAGPZYHH,898,0.0,103.0,21680.0,21577.0
PL1331LAGPZZRH,937,0.0,8.0,22522.0,22514.0
PL1331LAGR16KH,898,0.0,102.0,21680.0,21578.0
PL1331LAGR18RH,860,0.0,103.0,21681.0,21578.0
PL1331LAGR1APH,902,0.0,34.0,21706.0,21672.0
PL1331LAGR1V4H,847,0.0,77.0,21027.0,20950.0
PL1331LAGR20LH,860,0.0,103.0,21681.0,21578.0
PL1331LAGR21AH,930,0.0,13.0,22359.0,22346.0
PL1331LAGR23ZH,889,0.0,31.0,21704.0,21673.0
PL1331LAGR24XH,902,0.0,31.0,21704.0,21673.0
PL1331LAGR25JH,898,0.0,103.0,21680.0,21577.0
PL1331LAGR2DJH,930,0.0,12.0,22358.0,22346.0
PL1331LAGR2KBH,898,0.0,103.0,21680.0,21577.0
PL1331LAGR2KMH,778,0.0,3750.0,22422.0,18672.0
PL1331LAGR2L9H,902,0.0,54.0,21726.0,21672.0
PL1331LAGR2N9H,898,0.0,104.0,21681.0,21577.0
PL1331LAGR2RRH,933,0.0,8.0,22426.0,22418.0
PL1331LAGR2VUH,909,0.0,32.0,22255.0,22223.0
PL1331LAGR3ELH,889,0.0,32.0,21704.0,21672.0
PL1331LAGR3LGH,889,0.0,31.0,21704.0,21673.0
PL1331LAGR3LJH,889,0.0,31.0,21704.0,21673.0
PL1331LAGR3N1H,898,0.0,103.0,21680.0,21577.0
PL1331LAGR3PJH,860,0.0,103.0,21681.0,21578.0
PL1331LAGR3RJH,860,0.0,103.0,21681.0,21578.0
PL1331LAGR3TZH,937,0.0,30.0,22542.0,22512.0
PL1331LAGR3XKH,902,0.0,54.0,21727.0,21673.0
PL1331LAGR41GH,930,0.0,12.0,22357.0,22345.0
PL1331LAGR470H,778,0.0,3750.0,22423.0,18673.0
PL1331LAGR476H,930,0.0,13.0,22359.0,22346.0
PL1331LAGR49UH,860,0.0,103.0,21681.0,21578.0
PL1331LAGR4D3H,889,0.0,32.0,21704.0,21672.0
PL1331LAGR4E3H,898,0.0,102.0,21680.0,21578.0
PL1331LAGR4GKH,898,0.0,103.0,21680.0,21577.0
PL1331LAGR4HLH,902,0.0,31.0,21703.0,21672.0
PL1331LAGR5T9H,778,0.0,3705.0,22378.0,18673.0
PL1331LAGR5TJH,902,0.0,31.0,21704.0,21673.0
PL1331LAGR5TTH,937,0.0,7.0,22521.0,22514.0
PL1331LAGR5VAH,898,0.0,103.0,21681.0,21578.0
PL1331LAGR5VSH,937,0.0,7.0,22521.0,22514.0
PL1331LAGR5WPH,910,0.0,32.0,22255.0,22223.0
PL1331LAGR62WH,870,0.0,105.0,21682.0,21577.0
PL1331LAGR638H,902,0.0,32.0,21704.0,21672.0
PL1331LAGR63NH,932,0.0,8.0,22426.0,22418.0
PL1331LAGR66XH,909,0.0,32.0,22255.0,22223.0
PL1331LAGR68TH,898,0.0,102.0,21680.0,21578.0
PL1331LAGR6ABH,889,0.0,54.0,21727.0,21673.0
PL1331LAGR6AHH,778,0.0,3660.0,22333.0,18673.0
PL1331LAGR6AWH,889,0.0,53.0,21727.0,21674.0
PL1331LAGR6BMH,898,0.0,103.0,21680.0,21577.0
