serial_number,n_obs,failure,runtime_min,runtime_max,uptime
PL1331LAG6GDRH,9,0.0,14.0,207.0,193.0
PL1331LAGGBEBH,961,0.0,85.0,23197.0,23112.0
PL1331LAGJV6MH,778,0.0,3751.0,22424.0,18673.0
PL1331LAGKSPAH,31,0.0,8.0,728.0,720.0
PL1331LAGLVJPH,961,0.0,84.0,23197.0,23113.0
PL1331LAGLVKGH,946,0.0,31.0,22760.0,22729.0
PL1331LAGLVL2H,945,0.0,32.0,22762.0,22730.0
PL1331LAGLVLHH,946,0.0,31.0,22760.0,22729.0
PL1331LAGLVMYH,961,0.0,84.0,23198.0,23114.0
PL1331LAGLVPYH,991,0.0,31.0,24216.0,24185.0
PL1331LAGLVRHH,944,0.0,37.0,22742.0,22705.0
PL1331LAGLVSEH,949,0.0,30.0,22856.0,22826.0
PL1331LAGLVSHH,945,0.0,32.0,22762.0,22730.0
PL1331LAGLVSXH,945,0.0,32.0,22761.0,22729.0
PL1331LAGLVTKH,969,0.0,79.0,23358.0,23279.0
PL1331LAGLVW9H,944,0.0,36.0,22741.0,22705.0
PL1331LAGLVXDH,1007,0.0,5.0,24198.0,24193.0
PL1331LAGLVXVH,999,0.0,79.0,24078.0,23999.0
PL1331LAGLVY8H,999,0.0,79.0,24078.0,23999.0
PL1331LAGLVYNH,999,0.0,79.0,24078.0,23999.0
PL1331LAGLVYXH,1007,0.0,36.0,24226.0,24190.0
PL1331LAGLW0HH,944,0.0,37.0,22741.0,22704.0
PL1331LAGLWSXH,1001,0.0,57.0,24106.0,24049.0
PL1331LAGLWT4H,945,0.0,31.0,22737.0,22706.0
PL1331LAGLWT8H,985,0.0,9.0,24031.0,24022.0
PL1331LAGLWTAH,945,0.0,32.0,22762.0,22730.0
PL1331LAGLWTDH,1007,0.0,33.0,24227.0,24194.0
PL1331LAGLWTEH,1000,0.0,11.0,24036.0,24025.0
PL1331LAGLWTGH,998,0.0,55.0,24104.0,24049.0
PL1331LAGLWU2H,985,0.0,9.0,24031.0,24022.0
PL1331LAGLWU5H,986,0.0,8.0,23696.0,23688.0
PL1331LAGLWU9H,1001,0.0,60.0,24109.0,24049.0
PL1331LAGLWUKH,1001,0.0,56.0,24106.0,24050.0
PL1331LAGLWUVH,1001,0.0,60.0,24108.0,24048.0
PL1331LAGLWUYH,1000,0.0,11.0,24035.0,24024.0
PL1331LAGLWV1H,924,0.0,343.0,22879.0,22536.0
PL1331LAGLWV2H,1000,0.0,11.0,24036.0,24025.0
PL1331LAGLWV8H,999,0.0,55.0,24103.0,24048.0
PL1331LAGLWV9H,969,0.0,79.0,23358.0,23279.0
PL1331LAGLWVBH,1007,0.0,32.0,24226.0,24194.0
PL1331LAGLWVMH,949,0.0,32.0,22857.0,22825.0
PL1331LAGLWVNH,949,0.0,30.0,22855.0,22825.0
PL1331LAGLWVRH,998,0.0,55.0,24076.0,24021.0
PL1331LAGLWVVH,1007,0.0,32.0,24226.0,24194.0
PL1331LAGLWVWH,1007,0.0,32.0,24227.0,24195.0
PL1331LAGLWW8H,1007,0.0,33.0,24227.0,24194.0
PL1331LAGLWWKH,1007,0.0,33.0,24227.0,24194.0
PL1331LAGLWWPH,992,0.0,56.0,24104.0,24048.0
PL1331LAGLWWYH,1001,0.0,56.0,24106.0,24050.0
PL1331LAGLWXMH,946,0.0,31.0,22760.0,22729.0
PL1331LAGLWY3H,944,0.0,37.0,22742.0,22705.0
PL1331LAGLWZWH,1001,0.0,78.0,24127.0,24049.0
PL1331LAGLWZXH,986,0.0,7.0,23697.0,23690.0
PL1331LAGLX07H,944,0.0,37.0,22742.0,22705.0
PL1331LAGLX0MH,961,0.0,84.0,23198.0,23114.0
PL1331LAGLX0TH,946,0.0,31.0,22760.0,22729.0
PL1331LAGLX1NH,962,0.0,83.0,23196.0,23113.0
PL1331LAGLX1XH,999,0.0,55.0,24104.0,24049.0
PL1331LAGLX1YH,1007,0.0,34.0,24227.0,24193.0
PL1331LAGLX1ZH,998,0.0,55.0,24103.0,24048.0
PL1331LAGLX2JH,999,0.0,55.0,24103.0,24048.0
PL1331LAGLX2TH,1007,0.0,33.0,24227.0,24194.0
PL1331LAGLX3VH,949,0.0,30.0,22855.0,22825.0
PL1331LAGLX41H,945,0.0,32.0,22761.0,22729.0
PL1331LAGLX4XH,949,0.0,30.0,22856.0,22826.0
PL1331LAGLX60H,1007,0.0,34.0,24228.0,24194.0
PL1331LAGLX6PH,924,0.0,343.0,22880.0,22537.0
PL1331LAGLX6SH,1001,0.0,57.0,24106.0,24049.0
PL1331LAGLX7EH,969,0.0,78.0,23358.0,23280.0
PL1331LAGLX7WH,962,0.0,253.0,23366.0,23113.0
PL1331LAGLX8JH,961,0.0,85.0,23197.0,23112.0
PL1331LAGLX8TH,946,0.0,31.0,22761.0,22730.0
PL1331LAGLX8XH,986,0.0,8.0,23696.0,23688.0
PL1331LAGLX94H,945,0.0,32.0,22761.0,22729.0
PL1331LAGLXA3H,1001,0.0,56.0,24105.0,24049.0
PL1331LAGLXA7H,1001,0.0,79.0,24128.0,24049.0
PL1331LAGLXA9H,985,0.0,8.0,24031.0,24023.0
PL1331LAGLXASH,962,0.0,83.0,23197.0,23114.0
PL1331LAGLXAXH,945,0.0,32.0,22737.0,22705.0
PL1331LAGLXAYH,949,0.0,30.0,22856.0,22826.0
PL1331LAGLXBAH,924,0.0,343.0,22880.0,22537.0
PL1331LAGLXBBH,1008,0.0,31.0,24239.0,24208.0
PL1331LAGLXBTH,962,0.0,83.0,23197.0,23114.0
PL1331LAGLXBXH,998,0.0,55.0,24076.0,24021.0
PL1331LAGLXD0H,1001,0.0,78.0,24128.0,24050.0
PL1331LAGLXD5H,985,0.0,9.0,24032.0,24023.0
PL1331LAGLXEJH,946,0.0,32.0,22760.0,22728.0
PL1331LAGLXEWH,986,0.0,8.0,23697.0,23689.0
PL1331LAGLXEXH,985,0.0,8.0,24031.0,24023.0
PL1331LAGLXEYH,1000,0.0,12.0,24036.0,24024.0
PL1331LAGLXG8H,961,0.0,84.0,23197.0,23113.0
PL1331LAGLXGGH,999,0.0,80.0,24079.0,23999.0
PL1331LAGLXGNH,1007,0.0,34.0,24227.0,24193.0
PL1331LAGLXGTH,944,0.0,37.0,22741.0,22704.0
PL1331LAGLXH0H,972,0.0,9.0,23362.0,23353.0
PL1331LAGLXHKH,946,0.0,31.0,22760.0,22729.0
PL1331LAGLXHXH,1001,0.0,57.0,24106.0,24049.0
PL1331LAGLXJLH,985,0.0,8.0,24031.0,24023.0
PL1331LAGLXJRH,1008,0.0,32.0,24239.0,24207.0
PL1331LAGLXJXH,1001,0.0,57.0,24106.0,24049.0
PL1331LAGLXJYH,986,0.0,8.0,23696.0,23688.0
PL1331LAGLXK4H,999,0.0,55.0,24104.0,24049.0
PL1331LAGLXKKH,974,0.0,8.0,23409.0,23401.0
PL1331LAGLXL1H,1009,0.0,12.0,24243.0,24231.0
PL1331LAGLXL2H,999,0.0,80.0,24078.0,23998.0
PL1331LAGLXLEH,37,1.0,11.0,2043.0,2032.0
PL1331LAGLXLHH,949,0.0,30.0,22856.0,22826.0
PL1331LAGLXLRH,1001,0.0,60.0,24110.0,24050.0
PL1331LAGLXLVH,985,0.0,8.0,24031.0,24023.0
PL1331LAGLXLZH,991,0.0,31.0,24216.0,24185.0
PL1331LAGLXM3H,999,0.0,80.0,24079.0,23999.0
PL1331LAGLXM4H,944,0.0,36.0,22742.0,22706.0
PL1331LAGLXM6H,961,0.0,84.0,23197.0,23113.0
PL1331LAGLXM9H,986,0.0,8.0,23696.0,23688.0
PL1331LAGLXMBH,1000,0.0,11.0,24035.0,24024.0
PL1331LAGLXMMH,945,0.0,32.0,22737.0,22705.0
PL1331LAGLXMRH,1001,0.0,56.0,24105.0,24049.0
PL1331LAGLXMSH,1001,0.0,59.0,24109.0,24050.0
PL1331LAGLXMTH,945,0.0,32.0,22737.0,22705.0
PL1331LAGLXNPH,1009,0.0,12.0,24242.0,24230.0
PL1331LAGLXNSH,944,0.0,35.0,22741.0,22706.0
PL1331LAGLXNWH,986,0.0,7.0,23697.0,23690.0
PL1331LAGLXP0H,986,0.0,8.0,23696.0,23688.0
PL1331LAGLXP1H,962,0.0,252.0,23365.0,23113.0
PL1331LAGLXP2H,1001,0.0,78.0,24127.0,24049.0
PL1331LAGLXP3H,1001,0.0,78.0,24127.0,24049.0
PL1331LAGLXP5H,1009,0.0,12.0,24242.0,24230.0
PL1331LAGLXP8H,972,0.0,9.0,23362.0,23353.0
PL1331LAGLXPAH,924,0.0,343.0,22879.0,22536.0
PL1331LAGLXPGH,985,0.0,8.0,24031.0,24023.0
PL1331LAGLXPHH,1000,0.0,11.0,24036.0,24025.0
PL1331LAGLXPJH,1001,0.0,56.0,24106.0,24050.0
PL1331LAGLXPKH,999,0.0,80.0,24079.0,23999.0
PL1331LAGLXPWH,1007,0.0,5.0,24198.0,24193.0
PL1331LAGLXPZH,924,0.0,341.0,22877.0,22536.0
PL1331LAGLXR2H,962,0.0,252.0,23365.0,23113.0
PL1331LAGLXRAH,924,0.0,343.0,22880.0,22537.0
PL1331LAGLXRBH,1009,0.0,12.0,24242.0,24230.0
PL1331LAGLXRHH,1001,0.0,57.0,24107.0,24050.0
PL1331LAGLXRLH,1007,0.0,36.0,24225.0,24189.0
PL1331LAGLXRWH,1008,0.0,32.0,24239.0,24207.0
PL1331LAGLXRYH,1001,0.0,57.0,24107.0,24050.0
PL1331LAGLXSHH,973,0.0,7.0,23399.0,23392.0
PL1331LAGLXSKH,1001,0.0,57.0,24107.0,24050.0
PL1331LAGLXTTH,974,0.0,8.0,23410.0,23402.0
PL1331LAGLXU7H,949,0.0,30.0,22855.0,22825.0
PL1331LAGLXUHH,986,0.0,7.0,23697.0,23690.0
PL1331LAGLXUJH,944,0.0,36.0,22742.0,22706.0
PL1331LAGLXUMH,945,0.0,32.0,22761.0,22729.0
PL1331LAGLXV0H,969,0.0,78.0,23358.0,23280.0
PL1331LAGLXV3H,946,0.0,31.0,22761.0,22730.0
PL1331LAGLXVGH,969,0.0,79.0,23358.0,23279.0
PL1331LAGLXW5H,986,0.0,8.0,23697.0,23689.0
PL1331LAGLXWNH,972,0.0,8.0,23407.0,23399.0
PL1331LAGLXX7H,985,0.0,8.0,24031.0,24023.0
PL1331LAGLXX9H,986,0.0,8.0,23696.0,23688.0
PL1331LAGLXXLH,915,0.0,31.0,24184.0,24153.0
PL1331LAGLXY0H,1007,0.0,34.0,24228.0,24194.0
PL1331LAGLXY7H,1001,0.0,60.0,24109.0,24049.0
PL1331LAGLXYJH,999,0.0,79.0,24078.0,23999.0
PL1331LAGLXYRH,1001,0.0,57.0,24106.0,24049.0
PL1331LAGLXYUH,949,0.0,30.0,22855.0,22825.0
PL1331LAGLXYWH,1001,0.0,57.0,24107.0,24050.0
PL1331LAGLXYZH,944,0.0,37.0,22742.0,22705.0
PL1331LAGLXZDH,946,0.0,31.0,22761.0,22730.0
PL1331LAGLXZJH,1001,0.0,57.0,24106.0,24049.0
PL1331LAGLY42H,1001,0.0,56.0,24106.0,24050.0
PL1331LAGLY44H,944,0.0,37.0,22742.0,22705.0
PL1331LAGLY4LH,1001,0.0,78.0,24127.0,24049.0
PL1331LAGLY4RH,944,0.0,37.0,22742.0,22705.0
PL1331LAGLY4XH,1001,0.0,79.0,24127.0,24048.0
PL1331LAGLY50H,986,0.0,8.0,23696.0,23688.0
PL1331LAGLY77H,961,0.0,83.0,23197.0,23114.0
PL1331LAGLY8UH,1001,0.0,56.0,24106.0,24050.0
PL1331LAGLY92H,962,0.0,84.0,23196.0,23112.0
PL1331LAGLY9HH,1001,0.0,57.0,24107.0,24050.0
PL1331LAGLY9NH,999,0.0,79.0,24079.0,24000.0
PL1331LAGLY9WH,985,0.0,8.0,24031.0,24023.0
PL1331LAGLYA2H,1001,0.0,56.0,24106.0,24050.0
PL1331LAGLYA5H,1007,0.0,33.0,24227.0,24194.0
PL1331LAGLYASH,1001,0.0,57.0,24106.0,24049.0
PL1331LAGLYBDH,944,0.0,35.0,22741.0,22706.0
PL1331LAGLYBLH,1001,0.0,57.0,24107.0,24050.0
PL1331LAGLYBYH,915,0.0,30.0,24184.0,24154.0
PL1331LAGLYD0H,778,0.0,3750.0,22423.0,18673.0
PL1331LAGLYD1H,946,0.0,31.0,22761.0,22730.0
PL1331LAGLYDNH,778,0.0,3750.0,22423.0,18673.0
PL1331LAGLYDVH,778,0.0,3751.0,22423.0,18672.0
PL1331LAGLYDXH,949,0.0,30.0,22856.0,22826.0
PL1331LAGLYG2H,1007,0.0,36.0,24225.0,24189.0
PL1331LAGLYG4H,944,0.0,37.0,22741.0,22704.0
PL1331LAGLYH0H,915,0.0,31.0,24183.0,24152.0
