serial_number,n_obs,failure,runtime_min,runtime_max,uptime
2EG1225J,689,0.0,9.0,16688.0,16679.0
2EG16MZJ,689,0.0,9.0,16688.0,16679.0
2EG1GVXG,689,0.0,9.0,16688.0,16679.0
2EG1UH9J,689,0.0,9.0,16688.0,16679.0
2EG1ZWAG,689,0.0,9.0,16688.0,16679.0
2EG28MRJ,689,0.0,9.0,16688.0,16679.0
2EG2J15G,689,0.0,9.0,16688.0,16679.0
2EG2J1YG,689,0.0,9.0,16688.0,16679.0
2EG33YWJ,41,1.0,9.0,968.0,959.0
2EG3AVDJ,689,0.0,9.0,16688.0,16679.0
2EG3GKNJ,689,0.0,9.0,16688.0,16679.0
2EG3H1NJ,689,0.0,9.0,16688.0,16679.0
2EG3HKNJ,689,0.0,9.0,16688.0,16679.0
2EG3K2TG,689,0.0,9.0,16688.0,16679.0
2EG3LPXJ,689,0.0,9.0,16688.0,16679.0
2EG3LU3J,689,0.0,9.0,16688.0,16679.0
2EG3MM0J,689,0.0,9.0,16688.0,16679.0
2EG3NZ2P,689,0.0,9.0,16688.0,16679.0
2EG3NZDP,689,0.0,9.0,16688.0,16679.0
2EG3P08P,689,0.0,9.0,16688.0,16679.0
2EG3P72P,689,0.0,9.0,16688.0,16679.0
2EG3P7PP,288,1.0,9.0,6920.0,6911.0
2EG3P7VP,689,0.0,9.0,16688.0,16679.0
2EG3P8ZP,689,0.0,9.0,16688.0,16679.0
2EG3WZAJ,689,0.0,9.0,16688.0,16679.0
2EG3Y52J,689,0.0,9.0,16688.0,16679.0
2EG4B1VR,689,0.0,9.0,16688.0,16679.0
2EG4DE6R,689,0.0,9.0,16688.0,16679.0
2EG4JKLP,648,0.0,6.0,15702.0,15696.0
2EG4JL3P,689,0.0,9.0,16688.0,16679.0
2EG4JR2P,689,0.0,9.0,16688.0,16679.0
2EG4JR4P,689,0.0,9.0,16688.0,16679.0
2EG4JTBP,689,0.0,9.0,16688.0,16679.0
2EG4JU5P,689,0.0,9.0,16688.0,16679.0
2EG4JV1P,689,0.0,9.0,16688.0,16679.0
2EG4K09P,689,0.0,9.0,16688.0,16679.0
2EG4K0HP,399,0.0,12.0,9708.0,9696.0
2EG4K5MP,689,0.0,9.0,16688.0,16679.0
2EG4K6DP,689,0.0,9.0,16688.0,16679.0
2EG4L4VP,689,0.0,9.0,16688.0,16679.0
2EG4L7WP,689,0.0,9.0,16688.0,16679.0
2EG4LSHP,689,0.0,9.0,16688.0,16679.0
2EG4M77R,689,0.0,9.0,16688.0,16679.0
2EG4M8BR,689,0.0,9.0,16688.0,16679.0
2EG4MH7R,689,0.0,9.0,16688.0,16679.0
2EG4MVWJ,689,0.0,9.0,16688.0,16679.0
2EG4U8BR,689,0.0,9.0,16688.0,16679.0
