serial_number,n_obs,failure,runtime_min,runtime_max,uptime
MJ0331YNG69A0A,1093,0.0,11264.0,37542.0,26278.0
MJ0331YNG7575A,1093,0.0,11005.0,37283.0,26278.0
MJ0351YNG8EU3A,1090,0.0,9027.0,35306.0,26279.0
MJ0351YNG92E2A,1090,0.0,10445.0,36723.0,26278.0
MJ0351YNG92EDA,1093,0.0,10172.0,36451.0,26279.0
MJ0351YNG92EGA,1091,0.0,10417.0,36696.0,26279.0
MJ0351YNG92EHA,1093,0.0,10175.0,36454.0,26279.0
MJ0351YNG92ENA,1093,0.0,10175.0,36454.0,26279.0
MJ0351YNG92ERA,1090,0.0,10445.0,36723.0,26278.0
MJ0351YNG92ESA,1090,0.0,10445.0,36723.0,26278.0
MJ0351YNG92EUA,1091,0.0,10417.0,36696.0,26279.0
MJ0351YNG96W3A,1091,0.0,9376.0,35655.0,26279.0
MJ0351YNG9K88A,1089,0.0,10490.0,36769.0,26279.0
MJ0351YNG9KRPA,1093,0.0,10175.0,36454.0,26279.0
MJ0351YNG9KRUA,1090,0.0,10444.0,36722.0,26278.0
MJ0351YNG9KRVA,1093,0.0,10175.0,36453.0,26278.0
MJ0351YNG9KS0A,1093,0.0,10175.0,36453.0,26278.0
MJ0351YNG9KS1A,1091,0.0,10417.0,36696.0,26279.0
MJ0351YNG9KS3A,1091,0.0,10418.0,36696.0,26278.0
MJ0351YNG9KS4A,1093,0.0,10175.0,36454.0,26279.0
MJ0351YNG9KS5A,1090,0.0,10444.0,36722.0,26278.0
MJ0351YNG9KSGA,1089,0.0,9979.0,36258.0,26279.0
MJ0351YNG9KSJA,1093,0.0,10175.0,36454.0,26279.0
MJ0351YNG9KSKA,1091,0.0,10417.0,36696.0,26279.0
MJ0351YNG9KSSA,1090,0.0,10029.0,36307.0,26278.0
MJ0351YNG9KTBA,1091,0.0,10477.0,36756.0,26279.0
MJ0351YNG9KU3A,1090,0.0,10445.0,36722.0,26277.0
MJ0351YNG9KVKA,1089,0.0,8718.0,34997.0,26279.0
MJ0351YNG9KWRA,1090,0.0,10054.0,36333.0,26279.0
MJ0351YNG9MU2A,1089,0.0,10275.0,36553.0,26278.0
MJ0351YNG9MXWA,1089,0.0,10275.0,36555.0,26280.0
MJ0351YNG9MZXA,1090,0.0,10462.0,36740.0,26278.0
MJ0351YNG9N5HA,1090,0.0,10460.0,36737.0,26277.0
MJ0351YNG9NBAA,1089,0.0,9695.0,35971.0,26276.0
MJ0351YNG9NG6A,1089,0.0,10275.0,36554.0,26279.0
MJ0351YNG9NL6A,1090,0.0,10460.0,36737.0,26277.0
MJ0351YNG9NSLA,1090,0.0,10459.0,36738.0,26279.0
MJ0351YNG9NUTA,1091,0.0,10417.0,36696.0,26279.0
MJ0351YNG9NUUA,1091,0.0,10417.0,36697.0,26280.0
MJ0351YNG9NUWA,1092,0.0,9973.0,36251.0,26278.0
MJ0351YNG9NUXA,1091,0.0,10417.0,36696.0,26279.0
MJ0351YNG9NUYA,1093,0.0,10476.0,36752.0,26276.0
MJ0351YNG9NUZA,1092,0.0,9973.0,36252.0,26279.0
MJ0351YNG9NV0A,1092,0.0,9973.0,36252.0,26279.0
MJ0351YNG9NV1A,1090,0.0,10502.0,36781.0,26279.0
MJ0351YNG9NV2A,1090,0.0,10444.0,36722.0,26278.0
MJ0351YNG9NV5A,1089,0.0,10410.0,36690.0,26280.0
MJ0351YNG9NV6A,1091,0.0,10477.0,36755.0,26278.0
MJ0351YNG9NW4A,1090,0.0,10461.0,36739.0,26278.0
MJ0351YNG9NYAA,1089,0.0,10275.0,36554.0,26279.0
MJ0351YNG9NYEA,1090,0.0,10461.0,36739.0,26278.0
MJ0351YNG9NYNA,1089,0.0,10275.0,36554.0,26279.0
MJ0351YNG9P1XA,1089,0.0,10275.0,36553.0,26278.0
MJ0351YNG9P24A,1089,0.0,10275.0,36554.0,26279.0
MJ0351YNG9P2LA,1090,0.0,10461.0,36739.0,26278.0
MJ0351YNG9P2NA,1089,0.0,10275.0,36554.0,26279.0
MJ0351YNG9P2PA,1090,0.0,10460.0,36737.0,26277.0
MJ0351YNG9P33A,1090,0.0,10461.0,36739.0,26278.0
MJ0351YNG9P8VA,1089,0.0,10460.0,36738.0,26278.0
MJ0351YNG9PDDA,1089,0.0,10275.0,36554.0,26279.0
MJ0351YNG9PLEA,1090,0.0,10029.0,36307.0,26278.0
MJ0351YNG9PTAA,1089,0.0,10275.0,36554.0,26279.0
MJ0351YNG9PVLA,1091,0.0,8645.0,34924.0,26279.0
MJ0351YNG9PYVA,1090,0.0,10462.0,36739.0,26277.0
MJ0351YNG9R3EA,1090,0.0,10459.0,36737.0,26278.0
MJ0351YNG9RA5A,1091,0.0,10477.0,36756.0,26279.0
MJ0351YNG9RAGA,1091,0.0,10417.0,36696.0,26279.0
MJ0351YNG9RAWA,1092,0.0,9973.0,36252.0,26279.0
MJ0351YNG9RBWA,1093,0.0,8111.0,34390.0,26279.0
MJ0351YNG9RBYA,1090,0.0,10055.0,36334.0,26279.0
MJ0351YNG9RD1A,1089,0.0,9387.0,35666.0,26279.0
MJ0351YNG9RD2A,1093,0.0,9333.0,35611.0,26278.0
MJ0351YNG9RD6A,1089,0.0,9647.0,35925.0,26278.0
MJ0351YNG9RE0A,1091,0.0,9778.0,36057.0,26279.0
MJ0351YNG9REGA,1093,0.0,8113.0,34391.0,26278.0
MJ0351YNG9REZA,1090,0.0,10055.0,36334.0,26279.0
MJ0351YNG9RG0A,1093,0.0,8111.0,34390.0,26279.0
MJ0351YNG9RG7A,1093,0.0,9332.0,35611.0,26279.0
MJ0351YNG9RG8A,1089,0.0,9695.0,35971.0,26276.0
MJ0351YNG9RGEA,465,1.0,9778.0,20984.0,11206.0
MJ0351YNG9RH2A,1089,0.0,9695.0,35971.0,26276.0
MJ0351YNG9RH9A,1091,0.0,9778.0,36057.0,26279.0
MJ0351YNG9RJDA,1090,0.0,10461.0,36740.0,26279.0
MJ0351YNG9RKEA,1090,0.0,10501.0,36779.0,26278.0
MJ0351YNG9RKKA,1091,0.0,9777.0,36056.0,26279.0
MJ0351YNG9RKNA,1090,0.0,10445.0,36723.0,26278.0
MJ0351YNG9RKZA,1090,0.0,9987.0,36266.0,26279.0
MJ0351YNG9RLXA,1093,0.0,10175.0,36453.0,26278.0
MJ0351YNG9RM0A,1089,0.0,10493.0,36772.0,26279.0
MJ0351YNG9RMPA,1090,0.0,9667.0,35945.0,26278.0
MJ0351YNG9RMZA,1091,0.0,10417.0,36696.0,26279.0
MJ0351YNG9RS0A,1091,0.0,10477.0,36756.0,26279.0
MJ0351YNG9RSHA,1089,0.0,10493.0,36772.0,26279.0
MJ0351YNG9RSUA,1093,0.0,10442.0,36721.0,26279.0
MJ0351YNG9RT4A,1090,0.0,10055.0,36333.0,26278.0
MJ0351YNG9RT5A,1093,0.0,9333.0,35612.0,26279.0
MJ0351YNG9RTHA,1093,0.0,10442.0,36721.0,26279.0
MJ0351YNG9RTUA,1090,0.0,10028.0,36307.0,26279.0
MJ0351YNG9RUDA,1093,0.0,8113.0,34391.0,26278.0
MJ0351YNG9RV4A,189,1.0,8111.0,12620.0,4509.0
MJ0351YNG9RV5A,1093,0.0,9374.0,35653.0,26279.0
MJ0351YNG9RV7A,1093,0.0,8111.0,34389.0,26278.0
MJ0351YNG9RVVA,1089,0.0,10493.0,36772.0,26279.0
MJ0351YNG9RW2A,1089,0.0,10490.0,36769.0,26279.0
MJ0351YNG9RW8A,1093,0.0,9374.0,35653.0,26279.0
