serial_number,n_obs,failure,runtime_min,runtime_max,uptime
PL1301LAG2VA9A,1093,0.0,7150.0,33424.0,26274.0
PL1301LAG2VL0A,1093,0.0,6172.0,32452.0,26280.0
PL1301LAG2VL6A,1092,0.0,5641.0,31920.0,26279.0
PL1301LAG2VL7A,1090,0.0,6451.0,32731.0,26280.0
PL1301LAG2VMMA,1042,1.0,6463.0,31543.0,25080.0
PL1301LAG2VNWA,1092,0.0,6463.0,32742.0,26279.0
PL1301LAG2VPYA,1092,0.0,6462.0,32742.0,26280.0
PL1301LAG2WMXA,1093,0.0,6171.0,32451.0,26280.0
PL1301LAG2WT8A,237,1.0,5638.0,11326.0,5688.0
PL1301LAG2WTKA,1093,0.0,6460.0,32740.0,26280.0
PL1301LAG2WVTA,1092,0.0,5640.0,31920.0,26280.0
PL1301LAG2WWJA,1093,0.0,6460.0,32740.0,26280.0
PL1301LAG2WZ3A,1093,0.0,6461.0,32741.0,26280.0
PL1301LAG2X26A,1089,0.0,6170.0,32451.0,26281.0
PL1301LAG2X3LA,1092,0.0,6463.0,32742.0,26279.0
PL1301LAG2X5SA,1089,0.0,6170.0,32450.0,26280.0
PL1301LAG2X6HA,1089,0.0,6170.0,32450.0,26280.0
PL1301LAG2XT0H,1089,0.0,6170.0,32449.0,26279.0
PL1301LAG2XVKH,1093,0.0,6460.0,32740.0,26280.0
PL1301LAG2Z85H,1091,0.0,7151.0,33432.0,26281.0
PL1301LAG2ZP3H,1093,0.0,6172.0,32452.0,26280.0
PL1301LAG30NUA,1093,0.0,6460.0,32740.0,26280.0
PL1301LAG31S9H,1092,0.0,7156.0,33437.0,26281.0
PL1301LAG326DH,1093,0.0,6460.0,32740.0,26280.0
PL1301LAG335BH,1092,0.0,5638.0,31918.0,26280.0
PL1301LAG33XTH,1093,0.0,7155.0,33436.0,26281.0
PL1301LAG34WZH,1092,0.0,5640.0,31920.0,26280.0
PL1301LAG34YBH,1093,0.0,6460.0,32740.0,26280.0
PL1301LAG355ZH,1092,0.0,5639.0,31919.0,26280.0
PL1301LAG3568H,1093,0.0,7150.0,33429.0,26279.0
PL1301LAG356SH,1093,0.0,7155.0,33435.0,26280.0
PL1301LAG3594H,725,1.0,7120.0,24662.0,17542.0
PL1301LAG35E5H,1093,0.0,7150.0,33430.0,26280.0
PL1301LAG35NSH,1093,0.0,7150.0,33430.0,26280.0
PL1301LAG35UWH,1089,0.0,6170.0,32450.0,26280.0
PL1301LAG3605H,1092,0.0,5641.0,31921.0,26280.0
PL1310LAG0173A,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG01AKA,1089,0.0,13501.0,39775.0,26274.0
PL1310LAG01B2A,450,1.0,13502.0,24391.0,10889.0
PL1310LAG01BTA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG01DWA,1089,0.0,13502.0,39776.0,26274.0
PL1310LAG01EAA,1089,0.0,13502.0,39776.0,26274.0
PL1310LAG01TUA,1089,0.0,13502.0,39775.0,26273.0
PL1310LAG026DA,1089,0.0,13502.0,39776.0,26274.0
PL1310LAG0283A,14,1.0,13502.0,13712.0,210.0
PL1310LAG03WSA,1089,0.0,13501.0,39775.0,26274.0
PL1310LAG0413A,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0712A,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG08W1A,1089,0.0,13503.0,39776.0,26273.0
PL1310LAG090KA,317,1.0,13502.0,21200.0,7698.0
PL1310LAG099JA,1089,0.0,13502.0,39775.0,26273.0
PL1310LAG0ASPA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0BJLA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0BLHA,57,1.0,13502.0,14707.0,1205.0
PL1310LAG0BWTA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0EBVA,1089,0.0,13503.0,39776.0,26273.0
PL1310LAG0ELAA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0N8SA,1089,0.0,13502.0,39776.0,26274.0
PL1310LAG0NBHA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0NBWA,345,1.0,13502.0,21873.0,8371.0
PL1310LAG0NBXA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0NJ3A,1089,0.0,13502.0,39776.0,26274.0
PL1310LAG0NMPA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0NMWA,1089,0.0,13501.0,39774.0,26273.0
PL1310LAG0NNDA,1089,0.0,13502.0,39776.0,26274.0
PL1310LAG0NNRA,1089,0.0,13502.0,39776.0,26274.0
PL1310LAG0NUTA,1089,0.0,13502.0,39776.0,26274.0
PL1311LAG0SMMA,1090,0.0,7516.0,33796.0,26280.0
