serial_number,n_obs,failure,runtime_min,runtime_max,uptime
MN1220F30LUA0D,803,0.0,11265.0,30571.0,19306.0
MN1220F30MALHD,933,0.0,15968.0,38469.0,22501.0
MN1220F30PUSAD,222,1.0,7.0,5359.0,5352.0
MN1220F31DER8D,937,0.0,21101.0,43626.0,22525.0
MN1220F32D5HJD,957,0.0,8237.0,31244.0,23007.0
MN1220F32K9HVD,961,0.0,14784.0,37965.0,23181.0
MN1221F306RB6D,963,0.0,4162.0,27314.0,23152.0
MN1221F30DUWYD,815,0.0,1688.0,21340.0,19652.0
MN3220FA040V9E,947,0.0,7.0,22823.0,22816.0
MN3221F30DB21E,471,1.0,15968.0,27341.0,11373.0
