serial_number,n_obs,failure,runtime_min,runtime_max,uptime
MK0301YHG09Y7A,1093,0.0,17522.0,43799.0,26277.0
MK0301YHG3R06A,1092,0.0,17521.0,43800.0,26279.0
MK0301YHG3Y2WA,1091,0.0,17515.0,43794.0,26279.0
MK0301YHG7ZW2A,1092,0.0,17521.0,43800.0,26279.0
MK0301YHG8JWKA,1091,0.0,17513.0,43792.0,26279.0
MK0301YHGA3L4A,1089,0.0,17539.0,43817.0,26278.0
MK0301YHGDADVA,1091,0.0,21964.0,48242.0,26278.0
MK0301YHGDG7NA,1091,0.0,21964.0,48242.0,26278.0
MK0301YHGDNGSA,1089,0.0,17539.0,43817.0,26278.0
MK0301YHGDPE9A,1089,0.0,17540.0,43818.0,26278.0
MK0301YHGEG36A,1089,0.0,16582.0,42862.0,26280.0
MK0301YHGEJ0HA,1091,0.0,17513.0,43791.0,26278.0
MK0301YHGEJXPA,1091,0.0,17512.0,43791.0,26279.0
MK0301YHGEUHGA,1092,0.0,17521.0,43801.0,26280.0
MK0301YHGEUYLA,1091,0.0,17513.0,43792.0,26279.0
MK0301YHGEW6ZA,305,1.0,17522.0,24854.0,7332.0
MK0301YHGG2GHA,1092,0.0,17521.0,43800.0,26279.0
MK0301YHGG611A,1089,0.0,16582.0,42861.0,26279.0
MK0301YHGGAY5A,787,0.0,8.0,18920.0,18912.0
MK0301YHGGM42A,1090,0.0,17186.0,43464.0,26278.0
MK0301YHGHUHDA,1091,0.0,21963.0,48241.0,26278.0
MK0301YHGJ7S8A,1093,0.0,17522.0,43801.0,26279.0
MK0301YHGJA52A,898,1.0,17513.0,39159.0,21646.0
MK0301YHGJH4HA,1091,0.0,21964.0,48242.0,26278.0
MK0301YHGJNUYA,1089,0.0,17540.0,43819.0,26279.0
MK0301YHGK08GA,1091,0.0,17513.0,43793.0,26280.0
MK0301YHGK2DVA,1093,0.0,9578.0,35856.0,26278.0
MK0301YHGK2PDA,1091,0.0,17515.0,43794.0,26279.0
