serial_number,n_obs,failure,runtime_min,runtime_max,uptime
MS79215X05J1YG,1093,0.0,7116.0,33390.0,26274.0
MS79215X08YJ9A,1093,0.0,7116.0,33389.0,26273.0
MS79215X09785G,835,0.0,3195.0,24669.0,21474.0
MS79215X09858G,602,1.0,7119.0,21558.0,14439.0
MS79215X099G0A,841,0.0,3195.0,24818.0,21623.0
MS79215X099HNA,1093,0.0,5568.0,31846.0,26278.0
MS79215X099J9A,1093,0.0,7116.0,33389.0,26273.0
MS79215X099K9A,1093,0.0,3839.0,30112.0,26273.0
MS79215X099PHA,1093,0.0,7119.0,33392.0,26273.0
MS79215X099PNA,1056,0.0,3010.0,28539.0,25529.0
