serial_number,n_obs,failure,runtime_min,runtime_max,uptime
STF605MH19USTW,55,0.0,41087.0,42383.0,1296.0
STF605MH1KZB5W,55,0.0,41087.0,42383.0,1296.0
STF605MH1MERTW,55,0.0,41088.0,42384.0,1296.0
STF605MH1MLY4W,55,0.0,41088.0,42384.0,1296.0
STF605MH1MMKXW,55,0.0,41087.0,42383.0,1296.0
STF605MH1MMNHW,55,0.0,41090.0,42386.0,1296.0
STF605MH1MMTGW,55,0.0,41087.0,42383.0,1296.0
STF605MH1MNGUW,55,0.0,41089.0,42385.0,1296.0
STF605MH1MPWEW,55,0.0,41089.0,42385.0,1296.0
STF605MH1MR9DW,55,0.0,41088.0,42383.0,1295.0
STF605MH1MRD9W,239,0.0,41084.0,47892.0,6808.0
STF605MH1MREEW,55,0.0,41090.0,42386.0,1296.0
STF607MH1JDZ9W,55,0.0,41016.0,42312.0,1296.0
STF607MH1R186W,55,0.0,22665.0,23960.0,1295.0
STF607MH1R9S0W,55,0.0,22666.0,23961.0,1295.0
