serial_number,n_obs,failure,runtime_min,runtime_max,uptime
S13PJDWS343088,55,0.0,36135.0,37431.0,1296.0
S13PJDWS343395,55,0.0,41075.0,42370.0,1295.0
S13PJDWS343397,55,0.0,41078.0,42373.0,1295.0
S13PJDWS343398,55,0.0,41075.0,42371.0,1296.0
S13PJDWS343399,55,0.0,41076.0,42371.0,1295.0
S13PJDWS343400,55,0.0,41074.0,42370.0,1296.0
S13PJDWS343401,55,0.0,41075.0,42371.0,1296.0
S13PJDWS343402,55,0.0,41075.0,42370.0,1295.0
S13PJDWS343403,55,0.0,41083.0,42379.0,1296.0
S13PJDWS343406,55,0.0,41083.0,42379.0,1296.0
S13PJDWS343411,55,0.0,41078.0,42374.0,1296.0
S13PJDWS343412,55,0.0,41085.0,42380.0,1295.0
S13PJDWS343413,55,0.0,41083.0,42378.0,1295.0
S13PJDWS343414,55,0.0,41083.0,42378.0,1295.0
