serial_number,n_obs,failure,runtime_min,runtime_max,uptime
5YD1P2Q1,218,1.0,3849.0,9046.0,5197.0
5YD2RADL,197,1.0,4499.0,10154.0,5655.0
5YD36JCL,2,1.0,3850.0,3859.0,9.0
5YD3PWYX,559,0.0,6034.0,19515.0,13481.0
5YD3RPG8,449,1.0,13925.0,24688.0,10763.0
5YD3SZSX,453,0.0,6561.0,17424.0,10863.0
5YD3WD75,452,0.0,6910.0,17763.0,10853.0
5YD46GTG,453,0.0,3955.0,14819.0,10864.0
5YD48V4R,351,0.0,4303.0,12692.0,8389.0
5YD49GRH,129,1.0,6560.0,10272.0,3712.0
5YD56K1W,234,0.0,2195.0,8459.0,6264.0
5YD573R5,411,0.0,4524.0,14367.0,9843.0
5YD58QR4,84,0.0,6394.0,8384.0,1990.0
5YD5HHAL,345,1.0,4212.0,12487.0,8275.0
5YD5Q8WM,424,1.0,14147.0,24309.0,10162.0
5YD5QGEK,85,1.0,5052.0,11139.0,6087.0
5YD5RY4C,493,1.0,2196.0,14029.0,11833.0
5YD5SC1K,95,1.0,3851.0,6106.0,2255.0
5YD5VML6,453,0.0,9248.0,20112.0,10864.0
5YD64RD5,394,1.0,8891.0,18326.0,9435.0
5YD6DFCX,238,1.0,6034.0,11708.0,5674.0
5YD6M81A,162,1.0,3872.0,7726.0,3854.0
5YD6RQDX,406,1.0,3660.0,13407.0,9747.0
5YD6XVQH,195,1.0,2985.0,8226.0,5241.0
5YD76ZD4,135,1.0,8794.0,12972.0,4178.0
5YD7CMXX,375,0.0,10256.0,19380.0,9124.0
5YD7T4WP,236,1.0,4524.0,10157.0,5633.0
5YD7VB86,2,1.0,4108.0,4108.0,0.0
5YD876KA,236,1.0,11548.0,17181.0,5633.0
5YD87XFR,292,1.0,10206.0,17179.0,6973.0
5YD893E9,439,0.0,11097.0,21619.0,10522.0
5YD89EVF,413,1.0,11786.0,21623.0,9837.0
5YD89LV0,283,1.0,10352.0,17103.0,6751.0
5YD8AKHA,89,1.0,12106.0,14773.0,2667.0
5YD8BLRT,287,1.0,11701.0,18564.0,6863.0
5YD8C29X,15,1.0,11697.0,12003.0,306.0
5YD8CF5Z,406,0.0,12439.0,22187.0,9748.0
5YD8MVBC,369,1.0,4882.0,13730.0,8848.0
5YD8NGB3,563,1.0,6562.0,20268.0,13706.0
5YD8WRES,429,1.0,9247.0,19530.0,10283.0
5YD8YM1M,132,0.0,4716.0,11958.0,7242.0
5YD92W05,345,1.0,9728.0,18000.0,8272.0
5YD94QE5,459,1.0,8101.0,19118.0,11017.0
5YD94S4S,300,1.0,8886.0,16103.0,7217.0
5YD94W8Y,298,1.0,9583.0,16681.0,7098.0
5YD96P6M,452,0.0,10088.0,20924.0,10836.0
5YD96SR2,382,1.0,9561.0,18705.0,9144.0
5YD972Z6,341,1.0,9586.0,17772.0,8186.0
5YD97C16,187,1.0,10622.0,15103.0,4481.0
5YD9FLX6,170,1.0,9081.0,13130.0,4049.0
5YD9KWTD,406,1.0,8838.0,18562.0,9724.0
5YD9RK7W,43,1.0,5552.0,6480.0,928.0
6YD0X4AP,699,0.0,4221.0,21314.0,17093.0
6YD1M7WX,271,0.0,6035.0,12509.0,6474.0
6YD1WA35,244,1.0,8408.0,15240.0,6832.0
