serial_number,n_obs,failure,runtime_min,runtime_max,uptime
S2T0J9ACB00383,1048,0.0,5696.0,30875.0,25179.0
S2T0J9ACB00398,1031,0.0,5725.0,30596.0,24871.0
S2T0J9ACB00399,890,1.0,6594.0,20369.0,13775.0
S2T0J9ACB00404,52,1.0,6820.0,8042.0,1222.0
S2T0J9ACB00405,1043,0.0,5727.0,30907.0,25180.0
S2T0J9ACB00410,1048,0.0,5743.0,30941.0,25198.0
S2T0J9ACB00411,1016,0.0,7480.0,31950.0,24470.0
S2T0J9ACB00415,1036,0.0,5164.0,30071.0,24907.0
S2T0J9ACB00417,1046,0.0,5849.0,31048.0,25199.0
S2T0J9ACB00419,1009,0.0,5141.0,29456.0,24315.0
S2T0J9ACB00421,360,1.0,7519.0,16255.0,8736.0
S2T0J9ACB00422,1046,0.0,7489.0,26998.0,19509.0
S2T0J9ACB00425,553,1.0,5186.0,18030.0,12844.0
S2T0J9ACB00426,1046,0.0,6682.0,27186.0,20504.0
S2T0J9ACB00427,1045,0.0,5699.0,30899.0,25200.0
S2T0J9ACB00429,997,1.0,1204.0,22637.0,21433.0
S2T0J9ACB00441,994,0.0,5143.0,29600.0,24457.0
S2T0J9BCB03125,1043,0.0,5190.0,29861.0,24671.0
S2T0J9BCB03126,1012,0.0,5183.0,29561.0,24378.0
S2T0J9BCB03469,743,0.0,5720.0,22226.0,16506.0
S2T0J9ECB02200,1049,0.0,5913.0,29786.0,23873.0
S2T0J9ECB02214,1036,0.0,5706.0,30906.0,25200.0
S2T0J9ECB02234,1047,0.0,5607.0,30785.0,25178.0
S2T0J9ECB02245,1008,0.0,3303.0,27522.0,24219.0
S2T0J9ECB02247,1034,0.0,6593.0,29517.0,22924.0
S2T0J9ECB02254,1042,0.0,7478.0,26894.0,19416.0
S2T0J9ECB02255,1049,0.0,5700.0,29232.0,23532.0
S2T0J9ECB02261,984,1.0,5170.0,28814.0,23644.0
S2T0J9ECB02265,1045,0.0,5747.0,30968.0,25221.0
S2T0J9ECB02268,1042,0.0,5142.0,30219.0,25077.0
S2T0J9ECB02270,506,1.0,5140.0,17329.0,12189.0
S2T0J9ECB02271,1044,0.0,5602.0,30774.0,25172.0
S2T0J9ECB02281,772,1.0,5700.0,24495.0,18795.0
S2T0J9FCB03168,1046,0.0,6633.0,28375.0,21742.0
S2T0J9FCB03208,1046,0.0,5697.0,28551.0,22854.0
S2T0J9FCB03233,1013,0.0,4479.0,24971.0,20492.0
S2T0JX0D400725,578,0.0,10.0,11933.0,11923.0
S2T0JX0D400726,891,1.0,81.0,21485.0,21404.0
S2T0JX0D500140,689,1.0,9.0,17407.0,17398.0
