serial_number,n_obs,failure,runtime_min,runtime_max,uptime
5XW00Q54,71,0.0,30213.0,31890.0,1677.0
5XW01V0Y,142,1.0,29853.0,33242.0,3389.0
5XW01VKF,71,0.0,29668.0,31346.0,1678.0
5XW027X0,142,1.0,29348.0,32737.0,3389.0
6XW01A9A,71,0.0,31105.0,32783.0,1678.0
6XW01CTW,71,0.0,29904.0,31582.0,1678.0
6XW01HTF,71,0.0,30385.0,32063.0,1678.0
6XW0375N,142,1.0,29854.0,33244.0,3390.0
6XW0BS9W,71,0.0,29898.0,31576.0,1678.0
6XW0DC6C,142,1.0,23512.0,26901.0,3389.0
6XW0DYH0,142,0.0,30658.0,34046.0,3388.0
6XW14S6T,71,0.0,29898.0,31575.0,1677.0
6XW16H4L,21,1.0,23550.0,24031.0,481.0
6XW1F85P,71,0.0,30071.0,31748.0,1677.0
9XW05PHP,151,0.0,28723.0,33824.0,5101.0
9XW08R5D,142,1.0,28723.0,32114.0,3391.0
