serial_number,n_obs,failure,runtime_min,runtime_max,uptime
W0Q091K4,718,1.0,5217.0,22742.0,17525.0
W0Q0F3BV,702,1.0,5211.0,22316.0,17105.0
W0Q0FNFH,700,1.0,3827.0,20980.0,17153.0
W0Q0JVYC,292,1.0,530.0,7616.0,7086.0
W0Q0M3Y0,88,1.0,4503.0,6612.0,2109.0
W0Q0QDR9,826,1.0,3329.0,23517.0,20188.0
W0Q0XRDJ,619,1.0,4498.0,19563.0,15065.0
W0Q0Z3E0,642,1.0,234.0,15901.0,15667.0
W0Q14FRQ,646,1.0,5213.0,20983.0,15770.0
W0Q169M9,663,1.0,5198.0,21380.0,16182.0
W0Q18L57,991,1.0,3869.0,28000.0,24131.0
W0Q19TPA,722,1.0,5276.0,22917.0,17641.0
W0Q1E8NC,248,1.0,3847.0,9871.0,6024.0
W0Q1F4GY,621,1.0,5200.0,20323.0,15123.0
W0Q1GKQG,261,1.0,4461.0,10873.0,6412.0
W0Q1LBWJ,700,1.0,1954.0,19042.0,17088.0
W0Q1NBXA,507,2.0,3820.0,16188.0,12368.0
W0Q1R52C,561,1.0,3841.0,17607.0,13766.0
W0Q1SSE0,847,2.0,4273.0,24931.0,20658.0
W0Q1STZM,1049,0.0,3848.0,29395.0,25547.0
W0Q1TEY6,173,1.0,5190.0,9402.0,4212.0
W0Q1YSGN,718,1.0,5217.0,22733.0,17516.0
W0Q20VHZ,269,1.0,3836.0,10425.0,6589.0
W0Q218LD,162,1.0,3973.0,7868.0,3895.0
W0Q24FT8,709,1.0,4499.0,21800.0,17301.0
W0Q24RHP,718,1.0,4464.0,21982.0,17518.0
W0Q24X20,702,1.0,3854.0,21012.0,17158.0
W0Q25TBW,628,1.0,2434.0,17762.0,15328.0
W0Q2620M,635,1.0,4489.0,19977.0,15488.0
W0Q2677P,538,1.0,4517.0,17640.0,13123.0
W0Q269WD,521,1.0,3843.0,16511.0,12668.0
W0Q26EE1,705,1.0,3856.0,21059.0,17203.0
W0Q2BH8K,715,1.0,4519.0,21991.0,17472.0
W0Q2D0MM,710,1.0,4485.0,21776.0,17291.0
W0Q2GAP9,235,1.0,3829.0,9507.0,5678.0
W0Q6GS3J,666,1.0,11056.0,29555.0,18499.0
W0Q6GWHX,802,1.0,10294.0,29826.0,19532.0
W0Q6GWQ1,834,1.0,11244.0,31627.0,20383.0
W0Q6GWSJ,834,1.0,10852.0,31231.0,20379.0
W0Q6H7VH,835,1.0,11006.0,31413.0,20407.0
W0Q6JB0X,807,1.0,10836.0,30490.0,19654.0
