serial_number,n_obs,failure,runtime_min,runtime_max,uptime
S3000A9T,2,1.0,12.0,36.0,24.0
S3000FZ5,721,0.0,8.0,17311.0,17303.0
S3000NSV,717,0.0,7.0,17216.0,17209.0
S3000QAP,725,0.0,10.0,17408.0,17398.0
S30015PW,597,0.0,14.0,14342.0,14328.0
S3001FPA,457,0.0,13.0,10980.0,10967.0
S3001HBH,455,0.0,297.0,11218.0,10921.0
S3001XAT,10,1.0,6.0,222.0,216.0
S3002DLG,198,1.0,12.0,4787.0,4775.0
S3002HH0,636,0.0,11.0,15466.0,15455.0
S30030EJ,430,0.0,8.0,10328.0,10320.0
S30034E6,724,0.0,13.0,17412.0,17399.0
S3003A6V,727,0.0,14.0,17461.0,17447.0
S3003GAB,636,0.0,10.0,15467.0,15457.0
S3003TK3,510,0.0,226.0,12489.0,12263.0
S3003W81,607,0.0,12.0,14581.0,14569.0
S30040F7,441,0.0,6.0,10613.0,10607.0
S3004E7J,449,0.0,4.0,10780.0,10776.0
S3004GY7,579,0.0,1.0,13871.0,13870.0
S3004L7F,449,0.0,8.0,10785.0,10777.0
S3004XS2,710,0.0,13.0,17054.0,17041.0
S30057DC,865,0.0,583.0,24237.0,23654.0
S3005CJW,325,0.0,9.0,7784.0,7775.0
S3005EK2,807,0.0,7.0,19423.0,19416.0
S3005PLS,571,0.0,0.0,13680.0,13680.0
S3005QYC,582,0.0,14.0,14007.0,13993.0
S3006B76,555,0.0,1.0,13294.0,13293.0
S3006M71,865,0.0,583.0,24239.0,23656.0
S3006M8L,978,0.0,131.0,24695.0,24564.0
S3006MB6,976,0.0,131.0,24652.0,24521.0
S3006MER,1000,0.0,58.0,24246.0,24188.0
S3006MT5,978,0.0,131.0,24695.0,24564.0
S3006MYW,978,0.0,131.0,24695.0,24564.0
S3006N2G,1000,0.0,58.0,24245.0,24187.0
S3006N8T,865,0.0,583.0,24239.0,23656.0
S3006NTM,978,0.0,131.0,24696.0,24565.0
S3006NW1,352,1.0,131.0,8812.0,8681.0
S3006NWS,978,0.0,131.0,24695.0,24564.0
S3006P93,978,0.0,131.0,24695.0,24564.0
S3006X9R,978,0.0,131.0,24695.0,24564.0
S3006XJA,978,0.0,131.0,24696.0,24565.0
S3006XJF,978,0.0,131.0,24695.0,24564.0
S3006XJH,978,0.0,131.0,24695.0,24564.0
S3006XSV,978,0.0,131.0,24695.0,24564.0
S3006XVN,156,1.0,583.0,7198.0,6615.0
S3006Y7F,978,0.0,131.0,24695.0,24564.0
S3006Y7J,865,0.0,583.0,24237.0,23654.0
S3006Y8J,853,0.0,583.0,24239.0,23656.0
S3006Y8L,444,0.0,12.0,10668.0,10656.0
S3006Y95,865,0.0,583.0,24237.0,23654.0
S3006YAC,62,1.0,583.0,1805.0,1222.0
S3006YCG,858,1.0,131.0,21814.0,21683.0
S3006ZK4,42,1.0,583.0,1651.0,1068.0
S30070EH,990,0.0,155.0,24079.0,23924.0
S30070ET,990,0.0,156.0,24081.0,23925.0
S30070F5,990,0.0,156.0,24082.0,23926.0
S30070FY,1033,0.0,10.0,24868.0,24858.0
S30070G5,990,0.0,156.0,24081.0,23925.0
S30070GW,1000,0.0,58.0,24247.0,24189.0
S30070H2,1000,0.0,58.0,24247.0,24189.0
S30070H7,1000,0.0,58.0,24247.0,24189.0
S30070HM,990,0.0,156.0,24079.0,23923.0
S30070J2,990,0.0,156.0,24079.0,23923.0
S30070JE,990,0.0,156.0,24079.0,23923.0
S30070K6,990,0.0,156.0,24080.0,23924.0
S30070LB,1000,0.0,58.0,24245.0,24187.0
S30070LE,990,0.0,155.0,24079.0,23924.0
S30070M5,990,0.0,155.0,24079.0,23924.0
S30070MH,1000,0.0,58.0,24245.0,24187.0
S30070P2,990,0.0,156.0,24079.0,23923.0
S30070PP,1030,0.0,10.0,24857.0,24847.0
S30071MB,1032,0.0,14.0,24951.0,24937.0
S30071T9,990,0.0,156.0,24079.0,23923.0
S30071VE,990,0.0,155.0,24079.0,23924.0
S30071Y1,990,0.0,156.0,24079.0,23923.0
S30071ZZ,1029,0.0,9.0,24744.0,24735.0
S300720X,990,0.0,156.0,24079.0,23923.0
S300721Y,1032,0.0,14.0,24951.0,24937.0
S300726D,990,0.0,155.0,24079.0,23924.0
S300728C,990,0.0,156.0,24079.0,23923.0
S300729G,1000,0.0,58.0,24245.0,24187.0
S30072EV,865,0.0,582.0,24237.0,23655.0
S3007322,978,0.0,131.0,24695.0,24564.0
S300737J,978,0.0,131.0,24695.0,24564.0
S300739N,978,0.0,131.0,24695.0,24564.0
S300739W,978,0.0,131.0,24695.0,24564.0
S30073JN,865,0.0,583.0,24237.0,23654.0
S30073KP,865,0.0,583.0,24237.0,23654.0
