serial_number,n_obs,failure,runtime_min,runtime_max,uptime
Z1Z0279D,999,1.0,7634.0,31749.0,24115.0
Z1Z02QVL,1094,0.0,5883.0,32158.0,26275.0
Z1Z02R5Z,488,0.0,9.0,11939.0,11930.0
Z1Z02S5W,1092,0.0,5539.0,31817.0,26278.0
Z1Z02S9B,346,1.0,7636.0,16035.0,8399.0
Z1Z02SEZ,1093,0.0,5582.0,31861.0,26279.0
Z1Z02SPH,1093,0.0,5582.0,31862.0,26280.0
Z1Z02TSF,488,0.0,9.0,11937.0,11928.0
Z1Z02W1K,1089,0.0,7634.0,33908.0,26274.0
Z1Z02W5N,488,0.0,9.0,11938.0,11929.0
Z1Z02WNA,488,0.0,10.0,11939.0,11929.0
Z1Z02WT2,786,1.0,7634.0,26641.0,19007.0
Z1Z02XPG,1089,0.0,7636.0,33912.0,26276.0
Z1Z02Y2Z,1089,0.0,7636.0,33911.0,26275.0
Z1Z0306R,1089,0.0,7634.0,33909.0,26275.0
Z1Z03091,488,0.0,9.0,11939.0,11930.0
Z1Z030A6,1089,0.0,7636.0,33912.0,26276.0
Z1Z03706,488,0.0,9.0,11938.0,11929.0
Z1Z0373X,1093,0.0,5582.0,31861.0,26279.0
Z1Z03747,1094,0.0,5883.0,32158.0,26275.0
Z1Z037B9,1094,0.0,5883.0,32158.0,26275.0
Z1Z037F3,1092,0.0,5541.0,31820.0,26279.0
Z1Z03CD0,1089,0.0,7634.0,33909.0,26275.0
Z1Z03CFJ,488,0.0,10.0,11938.0,11928.0
Z1Z03CX9,887,1.0,7634.0,29059.0,21425.0
Z1Z03E5Y,1089,0.0,7635.0,33908.0,26273.0
Z1Z03EFS,488,0.0,9.0,11938.0,11929.0
Z1Z03EGR,1089,0.0,7635.0,33908.0,26273.0
Z1Z03EJ2,1089,0.0,7634.0,33905.0,26271.0
Z1Z03EJ5,1089,0.0,7634.0,33906.0,26272.0
Z1Z03EJD,873,1.0,7635.0,28727.0,21092.0
Z1Z03EM1,923,1.0,7635.0,29925.0,22290.0
Z1Z03EN4,1089,0.0,7635.0,33908.0,26273.0
Z1Z03ERE,1089,0.0,7634.0,33906.0,26272.0
Z1Z03EWL,821,1.0,7635.0,27479.0,19844.0
Z1Z03EXL,1089,0.0,7635.0,33908.0,26273.0
Z1Z03F39,784,1.0,7635.0,26593.0,18958.0
Z1Z03F4F,1089,0.0,7633.0,33907.0,26274.0
Z1Z03F55,945,1.0,7634.0,30449.0,22815.0
Z1Z03F5X,1089,0.0,7634.0,33905.0,26271.0
Z1Z03F7N,1059,1.0,7635.0,33188.0,25553.0
Z1Z03F7T,488,0.0,9.0,11938.0,11929.0
Z1Z03F8P,1089,0.0,7635.0,33908.0,26273.0
Z1Z03F9H,1089,0.0,7635.0,33908.0,26273.0
Z1Z03FAP,1043,1.0,7635.0,32804.0,25169.0
Z1Z03FCX,1089,0.0,7634.0,33906.0,26272.0
Z1Z03FEP,346,1.0,7634.0,16032.0,8398.0
Z1Z03FQM,785,1.0,7635.0,26617.0,18982.0
Z1Z03FQS,1089,0.0,7634.0,33906.0,26272.0
Z1Z03FRE,488,0.0,9.0,11938.0,11929.0
Z1Z03FTJ,1089,0.0,7634.0,33906.0,26272.0
Z1Z03G2H,1088,1.0,7634.0,33886.0,26252.0
Z1Z03G7Q,880,1.0,7635.0,28893.0,21258.0
Z1Z03GZ2,488,0.0,9.0,11939.0,11930.0
Z1Z03H2G,871,1.0,7636.0,28681.0,21045.0
Z1Z03HAZ,1094,0.0,5883.0,32159.0,26276.0
Z1Z03HH1,871,1.0,7634.0,28679.0,21045.0
Z1Z03HW3,1092,0.0,5541.0,31819.0,26278.0
Z1Z03J8E,871,1.0,7635.0,28678.0,21043.0
Z1Z03J9E,1093,0.0,5581.0,31858.0,26277.0
Z1Z03JEY,1089,0.0,7634.0,33906.0,26272.0
Z1Z03JF5,1089,0.0,7635.0,33908.0,26273.0
Z1Z03JJ7,944,1.0,7634.0,30426.0,22792.0
Z1Z03JK8,662,1.0,7635.0,23640.0,16005.0
Z1Z03JP0,1089,0.0,7635.0,33908.0,26273.0
Z1Z03JPR,1089,0.0,7635.0,33909.0,26274.0
Z1Z03PLE,488,0.0,9.0,11938.0,11929.0
Z1Z03PWN,1093,0.0,5581.0,31858.0,26277.0
Z1Z03PYX,1094,0.0,5883.0,32158.0,26275.0
Z1Z03VF5,1092,0.0,5539.0,31818.0,26279.0
Z1Z03Y5A,1094,0.0,5883.0,32159.0,26276.0
Z1Z03YGT,488,0.0,9.0,11939.0,11930.0
Z1Z03YKP,1093,0.0,5582.0,31862.0,26280.0
Z1Z041E9,1092,0.0,5541.0,31817.0,26276.0
Z1Z042YF,1092,0.0,5542.0,31820.0,26278.0
Z1Z0432J,1092,0.0,5541.0,31816.0,26275.0
Z1Z0449D,1037,1.0,5540.0,30498.0,24958.0
Z1Z044ET,1093,0.0,5581.0,31859.0,26278.0
Z1Z044LE,1094,0.0,5883.0,32159.0,26276.0
Z1Z046S6,1094,0.0,5883.0,32159.0,26276.0
