serial_number,n_obs,failure,runtime_min,runtime_max,uptime
ZA120V8D,26,0.0,183.0,783.0,600.0
ZA128ZRM,26,0.0,183.0,784.0,601.0
ZA12GTRM,26,0.0,183.0,783.0,600.0
ZA12RY9N,26,0.0,183.0,784.0,601.0
ZA12T0XW,26,0.0,183.0,783.0,600.0
ZA12V280,26,0.0,183.0,783.0,600.0
ZA12VLB3,26,0.0,184.0,783.0,599.0
ZA12WHQJ,26,0.0,183.0,783.0,600.0
ZA12WK90,26,0.0,184.0,783.0,599.0
ZA12WWX3,26,0.0,184.0,783.0,599.0
ZA12WX4H,26,0.0,183.0,783.0,600.0
ZA12WXAN,26,0.0,183.0,783.0,600.0
ZA12WXB5,26,0.0,183.0,784.0,601.0
ZA12WXJR,26,0.0,183.0,783.0,600.0
ZA12WXNW,26,0.0,183.0,784.0,601.0
ZA12WXTH,26,0.0,183.0,784.0,601.0
ZA12WXWA,26,0.0,183.0,783.0,600.0
ZA12WXWG,26,0.0,183.0,784.0,601.0
ZA12WYQJ,26,0.0,183.0,783.0,600.0
ZA12WYSS,26,0.0,183.0,783.0,600.0
ZA12WYWR,26,0.0,183.0,783.0,600.0
ZA12WYXS,26,0.0,183.0,783.0,600.0
ZA12WYXZ,26,0.0,184.0,783.0,599.0
ZA12WYY1,26,0.0,184.0,783.0,599.0
ZA12WYY2,26,0.0,183.0,783.0,600.0
ZA12WZ0K,26,0.0,183.0,783.0,600.0
ZA12X0F7,26,0.0,183.0,783.0,600.0
ZA12X1E7,26,0.0,184.0,783.0,599.0
ZA12X1KV,26,0.0,183.0,783.0,600.0
ZA12X1RS,26,0.0,183.0,783.0,600.0
ZA12X3MX,26,0.0,183.0,783.0,600.0
ZA12X55L,26,0.0,183.0,784.0,601.0
ZA12X99D,26,0.0,183.0,783.0,600.0
ZA12X99F,26,0.0,184.0,783.0,599.0
ZA12XDWY,26,0.0,183.0,783.0,600.0
ZA12XE5Z,26,0.0,183.0,783.0,600.0
ZA12XE7A,26,0.0,183.0,783.0,600.0
ZA12XE7C,26,0.0,183.0,784.0,601.0
ZA12XE7H,26,0.0,183.0,784.0,601.0
ZA12XE8E,26,0.0,184.0,783.0,599.0
ZA12XEDC,26,0.0,183.0,783.0,600.0
ZA12XEER,26,0.0,183.0,783.0,600.0
ZA12XEFB,26,0.0,183.0,783.0,600.0
ZA12XNZ3,26,0.0,183.0,784.0,601.0
ZA12XP6C,26,0.0,183.0,784.0,601.0
ZA12XRX2,26,0.0,183.0,783.0,600.0
ZA12XRZD,26,0.0,184.0,783.0,599.0
ZA12XV8Q,26,0.0,183.0,784.0,601.0
ZA12XV8T,26,0.0,183.0,783.0,600.0
ZA12XVBT,26,0.0,183.0,783.0,600.0
ZA12XX3J,26,0.0,183.0,783.0,600.0
ZA12XX3X,26,0.0,183.0,784.0,601.0
ZA12XX4T,26,0.0,183.0,783.0,600.0
ZA12XX55,26,0.0,183.0,784.0,601.0
ZA12Y0LD,26,0.0,183.0,783.0,600.0
ZA12Y0LF,26,0.0,183.0,783.0,600.0
ZA12Y0NL,26,0.0,184.0,783.0,599.0
ZA12Y0X5,26,0.0,184.0,783.0,599.0
ZA12Y5XR,26,0.0,183.0,783.0,600.0
ZA12YN7W,26,0.0,184.0,783.0,599.0
