serial_number,n_obs,failure,runtime_min,runtime_max,uptime
6VDHZ71D,1054,0.0,80.0,25893.0,25813.0
6VDHZ7NR,1006,0.0,10.0,25016.0,25006.0
6VDHZ9H9,1020,0.0,11.0,25014.0,25003.0
6VDHZ9ZK,1004,0.0,13.0,25099.0,25086.0
6VDHZA14,1037,0.0,129.0,25550.0,25421.0
6VDHZA4H,1049,0.0,82.0,25868.0,25786.0
6VDHZAFY,1042,0.0,80.0,25603.0,25523.0
6VDHZAGH,954,0.0,81.0,24526.0,24445.0
6VDHZAKY,1038,0.0,12.0,25453.0,25441.0
6VDHZALT,1037,0.0,10.0,25423.0,25413.0
6VDHZAQ6,1037,0.0,11.0,25430.0,25419.0
6VDHZAQB,1018,0.0,12.0,25400.0,25388.0
6VDHZATY,1049,0.0,82.0,25872.0,25790.0
6VDHZAXD,1035,0.0,12.0,25451.0,25439.0
6VDHZAZE,1045,0.0,81.0,25703.0,25622.0
6VDHZB43,1002,1.0,82.0,24647.0,24565.0
6VDHZB48,1038,0.0,10.0,25450.0,25440.0
6VDHZBGY,845,0.0,81.0,21260.0,21179.0
6VDHZK5M,678,1.0,330.0,16964.0,16634.0
6VDHZLVX,1049,0.0,82.0,25867.0,25785.0
6VDHZSR4,1008,0.0,179.0,25019.0,24840.0
6VDHZZ6R,1034,0.0,17.0,25353.0,25336.0
6VDHZZKY,1006,0.0,50.0,24720.0,24670.0
6VDJ00XC,101,1.0,34.0,2489.0,2455.0
6VDJ06TH,1018,0.0,51.0,25025.0,24974.0
