serial_number,n_obs,failure,runtime_min,runtime_max,uptime
13H2B97AS,895,0.0,3220.0,25034.0,21814.0
13H3012AS,251,0.0,3128.0,9122.0,5994.0
13H32WEAS,1093,0.0,6007.0,32285.0,26278.0
13H6A0DGS,244,0.0,6153.0,12006.0,5853.0
13H6A21GS,1093,0.0,5379.0,31651.0,26272.0
13H7JUNAS,274,0.0,3221.0,9819.0,6598.0
13H7X2HAS,614,0.0,3221.0,18895.0,15674.0
13H80PNGS,586,0.0,3006.0,17138.0,14132.0
13H85BMGS,1039,0.0,3004.0,28896.0,25892.0
13H87YWAS,1089,0.0,5576.0,31856.0,26280.0
13H883WAS,678,1.0,3125.0,19476.0,16351.0
13H89KSGS,1090,0.0,5579.0,31858.0,26279.0
13H89U2GS,885,0.0,3220.0,24795.0,21575.0
13H8AB0GS,884,0.0,5698.0,26985.0,21287.0
13H8B2RGS,895,0.0,3180.0,24753.0,21573.0
13H8B38GS,585,0.0,3222.0,17318.0,14096.0
13H8B3SGS,1089,0.0,5698.0,31977.0,26279.0
13H8B43GS,607,0.0,6003.0,20614.0,14611.0
13H8B48GS,368,0.0,3011.0,11863.0,8852.0
13H8D70AS,828,0.0,3007.0,24317.0,21310.0
Z2529ZDAS,1093,0.0,7119.0,33392.0,26273.0
Z252A0ZAS,1093,0.0,7119.0,33392.0,26273.0
Z252A30AS,1093,0.0,7116.0,33389.0,26273.0
Z252A34AS,289,1.0,7119.0,14027.0,6908.0
Z252A47AS,1093,0.0,7116.0,33389.0,26273.0
Z252A53AS,1093,0.0,7113.0,33386.0,26273.0
Z252A55AS,1093,0.0,7113.0,33386.0,26273.0
Z252A59AS,1093,0.0,7119.0,33392.0,26273.0
Z252A7MAS,1093,0.0,7119.0,33390.0,26271.0
Z252E3ZAS,1093,0.0,7119.0,33392.0,26273.0
Z252E8NAS,1093,0.0,7119.0,33391.0,26272.0
Z252EGAAS,1093,0.0,7116.0,33389.0,26273.0
Z252JSPAS,1093,0.0,7113.0,33386.0,26273.0
Z252JT6AS,189,1.0,7119.0,11628.0,4509.0
Z252MP6AS,1093,0.0,7119.0,33392.0,26273.0
Z252MWSAS,1093,0.0,7116.0,33389.0,26273.0
Z252MY8AS,1093,0.0,7119.0,33390.0,26271.0
Z252MZ8AS,1093,0.0,7116.0,33389.0,26273.0
Z252N0WAS,1093,0.0,7119.0,33392.0,26273.0
Z2623WBAS,1093,0.0,7116.0,33389.0,26273.0
Z2623ZGAS,1093,0.0,7113.0,33386.0,26273.0
Z262A0JAS,1093,0.0,7116.0,33389.0,26273.0
Z262A0TAS,1093,0.0,7116.0,33389.0,26273.0
Z262A16AS,1093,0.0,7119.0,33392.0,26273.0
Z262A2AAS,1093,0.0,7119.0,33392.0,26273.0
Z262A7AAS,1093,0.0,7119.0,33392.0,26273.0
Z262E7VAS,1093,0.0,7116.0,33389.0,26273.0
Z262E7ZAS,1093,0.0,7116.0,33389.0,26273.0
Z262E92AS,1093,0.0,7119.0,33392.0,26273.0
Z262EBNAS,461,1.0,7119.0,18175.0,11056.0
Z262EVJAS,1093,0.0,7119.0,33392.0,26273.0
Z262G0UAS,1093,0.0,7119.0,33392.0,26273.0
Z262G13AS,1093,0.0,7113.0,33386.0,26273.0
Z262G2UAS,1093,0.0,7119.0,33392.0,26273.0
Z262JG9AS,1093,0.0,7119.0,33392.0,26273.0
Z262JM4AS,1093,0.0,7119.0,33392.0,26273.0
Z262JRNAS,1093,0.0,7116.0,33389.0,26273.0
Z262JRXAS,795,1.0,7116.0,26237.0,19121.0
