serial_number,n_obs,failure,runtime_min,runtime_max,uptime
2511K0Q3FMYB,662,0.0,128.0,16157.0,16029.0
2511K0Q5FMYB,662,0.0,128.0,16156.0,16028.0
2511K0Q6FMYB,662,0.0,128.0,16157.0,16029.0
2511K0Q7FMYB,662,0.0,128.0,16157.0,16029.0
2511K0Q8FMYB,662,0.0,128.0,16156.0,16028.0
2511K0Q9FMYB,662,0.0,128.0,16156.0,16028.0
2511K0QAFMYB,662,0.0,128.0,16157.0,16029.0
2511K0QBFMYB,662,0.0,128.0,16157.0,16029.0
2511K0QEFMYB,662,0.0,128.0,16157.0,16029.0
2514K0GHFMYB,662,0.0,128.0,16157.0,16029.0
2514K0GLFMYB,662,0.0,128.0,16156.0,16028.0
2514K0GMFMYB,662,0.0,128.0,16157.0,16029.0
2514K0GYFMYB,662,0.0,128.0,16158.0,16030.0
2514K0GZFMYB,662,0.0,128.0,16157.0,16029.0
2514K0H0FMYB,662,0.0,128.0,16159.0,16031.0
2514K0H1FMYB,662,0.0,128.0,16156.0,16028.0
2514K0H2FMYB,662,0.0,128.0,16157.0,16029.0
2514K0H3FMYB,662,0.0,128.0,16158.0,16030.0
2514K0H4FMYB,662,0.0,128.0,16157.0,16029.0
251FK0C5FMYB,662,0.0,128.0,16157.0,16029.0
2544K0HKFMYB,662,0.0,128.0,16160.0,16032.0
2544K0HLFMYB,513,0.0,12.0,12322.0,12310.0
2544K0HMFMYB,662,0.0,128.0,16156.0,16028.0
2544K0HNFMYB,662,0.0,128.0,16158.0,16030.0
2544K0HSFMYB,662,0.0,128.0,16157.0,16029.0
2544K0HTFMYB,537,0.0,12.0,12890.0,12878.0
2544K0HXFMYB,334,0.0,6.0,7998.0,7992.0
2545K0BSFMYB,662,0.0,128.0,16157.0,16029.0
2545K0BTFMYB,589,0.0,6.0,14140.0,14134.0
4581K0G1FMYB,589,0.0,59.0,14218.0,14159.0
4581K0G2FMYB,590,0.0,105.0,14263.0,14158.0
4582K1CGFMYB,590,0.0,105.0,14262.0,14157.0
4582K1CJFMYB,590,0.0,129.0,14278.0,14149.0
4582K1CNFMYB,590,0.0,105.0,14264.0,14159.0
4582K1COFMYB,589,0.0,59.0,14218.0,14159.0
4584K0TOFMYB,589,0.0,59.0,14218.0,14159.0
4584K0TQFMYB,589,0.0,59.0,14218.0,14159.0
4589K0VAFMYB,590,0.0,129.0,14278.0,14149.0
4589K0VEFMYB,590,0.0,129.0,14279.0,14150.0
4589K0VFFMYB,590,0.0,105.0,14265.0,14160.0
4589K0VGFMYB,590,0.0,105.0,14262.0,14157.0
4589K0VHFMYB,590,0.0,129.0,14288.0,14159.0
4589K0VIFMYB,590,0.0,104.0,14263.0,14159.0
4589K0VJFMYB,590,0.0,129.0,14278.0,14149.0
4589K0VKFMYB,590,0.0,105.0,14262.0,14157.0
4589K0VNFMYB,590,0.0,105.0,14263.0,14158.0
4591K0GLFMYB,590,0.0,106.0,14265.0,14159.0
4591K0GMFMYB,590,0.0,128.0,14286.0,14158.0
4591K0GNFMYB,590,0.0,106.0,14265.0,14159.0
4591K0GOFMYB,590,0.0,106.0,14263.0,14157.0
4591K0GPFMYB,590,0.0,106.0,14264.0,14158.0
4591K0HFFMYB,590,0.0,105.0,14262.0,14157.0
4591K0HHFMYB,590,0.0,106.0,14265.0,14159.0
4592K1DOFMYB,590,0.0,105.0,14262.0,14157.0
4592K1DPFMYB,590,0.0,106.0,14265.0,14159.0
4593K19PFMYB,590,0.0,58.0,14217.0,14159.0
4593K19RFMYB,590,0.0,105.0,14261.0,14156.0
4593K19SFMYB,590,0.0,105.0,14262.0,14157.0
4593K19TFMYB,590,0.0,105.0,14262.0,14157.0
4593K19UFMYB,590,0.0,106.0,14264.0,14158.0
4593K19VFMYB,590,0.0,106.0,14264.0,14158.0
4593K19XFMYB,590,0.0,106.0,14263.0,14157.0
4593K19YFMYB,590,0.0,128.0,14286.0,14158.0
4593K19ZFMYB,590,0.0,106.0,14264.0,14158.0
4596K0X6FMYB,590,0.0,106.0,14265.0,14159.0
4596K0X7FMYB,590,0.0,128.0,14286.0,14158.0
45A6K0YMFMYB,590,0.0,104.0,14263.0,14159.0
45A6K0YNFMYB,589,0.0,59.0,14218.0,14159.0
45A6K0YOFMYB,590,0.0,104.0,14264.0,14160.0
45B1K0INFMYB,590,0.0,58.0,14215.0,14157.0
45B1K0IOFMYB,590,0.0,58.0,14216.0,14158.0
45C8K0QGFMYB,590,0.0,58.0,14218.0,14160.0
45C8K0QHFMYB,590,0.0,128.0,14286.0,14158.0
45C8K0QIFMYB,25,1.0,58.0,634.0,576.0
45C8K0QJFMYB,590,0.0,59.0,14218.0,14159.0
45C8K0QKFMYB,590,0.0,58.0,14214.0,14156.0
45C8K0QLFMYB,565,0.0,58.0,13650.0,13592.0
45C9K0XLFMYB,77,1.0,127.0,1951.0,1824.0
45C9K0XMFMYB,590,0.0,58.0,14217.0,14159.0
45C9K0XOFMYB,590,0.0,106.0,14265.0,14159.0
45C9K0XTFMYB,590,0.0,59.0,14218.0,14159.0
45C9K0XUFMYB,590,0.0,106.0,14263.0,14157.0
45CAK0Q5FMYB,590,0.0,106.0,14265.0,14159.0
45CAK0Q6FMYB,590,0.0,58.0,14216.0,14158.0
45CAK0Q7FMYB,590,0.0,58.0,14218.0,14160.0
45CAK0Q8FMYB,590,0.0,105.0,14263.0,14158.0
45CAK0Q9FMYB,590,0.0,128.0,14286.0,14158.0
45CHK11GFMYB,590,0.0,105.0,14263.0,14158.0
45CHK11HFMYB,590,0.0,104.0,14263.0,14159.0
45CHK11IFMYB,590,0.0,128.0,14286.0,14158.0
45CHK11JFMYB,590,0.0,106.0,14263.0,14157.0
45CHK11KFMYB,590,0.0,106.0,14263.0,14157.0
45CHK11MFMYB,590,0.0,106.0,14263.0,14157.0
45CHK11NFMYB,590,0.0,126.0,14284.0,14158.0
45CHK11OFMYB,590,0.0,106.0,14263.0,14157.0
45CHK11PFMYB,590,0.0,105.0,14262.0,14157.0
45CHK11QFMYB,53,1.0,128.0,1376.0,1248.0
45CHK11RFMYB,590,0.0,58.0,14216.0,14158.0
45CHK11SFMYB,590,0.0,58.0,14217.0,14159.0
45CHK11TFMYB,590,0.0,58.0,14216.0,14158.0
45CHK11UFMYB,590,0.0,105.0,14263.0,14158.0
45CHK11VFMYB,590,0.0,58.0,14217.0,14159.0
45CHK11WFMYB,590,0.0,128.0,14286.0,14158.0
45CHK11XFMYB,590,0.0,105.0,14264.0,14159.0
45CHK120FMYB,590,0.0,105.0,14263.0,14158.0
45CHK121FMYB,590,0.0,104.0,14264.0,14160.0
45CHK122FMYB,590,0.0,105.0,14263.0,14158.0
45CHK123FMYB,590,0.0,128.0,14288.0,14160.0
45CHK124FMYB,590,0.0,105.0,14264.0,14159.0
45CHK125FMYB,590,0.0,58.0,14217.0,14159.0
45CIK0M5FMYB,590,0.0,128.0,14287.0,14159.0
45CIK0M6FMYB,590,0.0,106.0,14264.0,14158.0
45CIK0M7FMYB,590,0.0,128.0,14287.0,14159.0
45CIK0M8FMYB,590,0.0,106.0,14265.0,14159.0
45D7K12YFMYB,590,0.0,128.0,14285.0,14157.0
45D7K12ZFMYB,590,0.0,58.0,14218.0,14160.0
45D7K131FMYB,590,0.0,58.0,14218.0,14160.0
45D7K132FMYB,590,0.0,128.0,14287.0,14159.0
45D7K133FMYB,590,0.0,128.0,14287.0,14159.0
45D7K134FMYB,590,0.0,128.0,14288.0,14160.0
45D7K135FMYB,590,0.0,126.0,14284.0,14158.0
45D7K137FMYB,590,0.0,59.0,14218.0,14159.0
45DDK14IFMYB,590,0.0,127.0,14287.0,14160.0
45DDK14JFMYB,590,0.0,127.0,14286.0,14159.0
45DDK14LFMYB,590,0.0,126.0,14285.0,14159.0
45DDK14QFMYB,590,0.0,126.0,14285.0,14159.0
45DDK14SFMYB,590,0.0,127.0,14287.0,14160.0
45DDK14TFMYB,590,0.0,126.0,14284.0,14158.0
45DGK0XNFMYB,590,0.0,127.0,14286.0,14159.0
849FK000FMYB,662,0.0,128.0,16156.0,16028.0
849FK005FMYB,662,0.0,128.0,16157.0,16029.0
84BDK008FMYB,662,0.0,128.0,16156.0,16028.0
84BDK01PFMYB,662,0.0,128.0,16156.0,16028.0
84BEK00KFMYB,662,0.0,128.0,16156.0,16028.0
84BEK019FMYB,662,0.0,128.0,16156.0,16028.0
84BEK01IFMYB,662,0.0,128.0,16156.0,16028.0
84BFK00HFMYB,662,0.0,128.0,16156.0,16028.0
84BFK00LFMYB,662,0.0,128.0,16155.0,16027.0
84BFK00MFMYB,662,0.0,128.0,16156.0,16028.0
84BGK000FMYB,662,0.0,128.0,16156.0,16028.0
84BGK001FMYB,662,0.0,128.0,16156.0,16028.0
84BGK002FMYB,662,0.0,128.0,16157.0,16029.0
84BGK00DFMYB,662,0.0,128.0,16156.0,16028.0
84BGK00MFMYB,662,0.0,128.0,16156.0,16028.0
84BGK00QFMYB,662,0.0,128.0,16156.0,16028.0
84BGK00YFMYB,662,0.0,128.0,16156.0,16028.0
84BGK00ZFMYB,662,0.0,128.0,16155.0,16027.0
84BGK011FMYB,662,0.0,128.0,16156.0,16028.0
84BHK004FMYB,662,0.0,128.0,16156.0,16028.0
