serial_number,n_obs,failure,runtime_min,runtime_max,uptime
563ESIWSS,142,0.0,293.0,3678.0,3385.0
563ESIXHS,26,0.0,183.0,782.0,599.0
5641SFQUS,156,0.0,12.0,3732.0,3720.0
5641SFQVS,147,0.0,389.0,3893.0,3504.0
5641SFQWS,142,0.0,32.0,3416.0,3384.0
5641SFQXS,147,0.0,390.0,3893.0,3503.0
5641SFQYS,26,0.0,183.0,783.0,600.0
5641SFQZS,142,0.0,294.0,3678.0,3384.0
5641SFR0S,142,0.0,294.0,3678.0,3384.0
5641SFR1S,71,0.0,6.0,1687.0,1681.0
5641SFR2S,142,0.0,294.0,3678.0,3384.0
5641SFR3S,142,0.0,294.0,3678.0,3384.0
5641SFR4S,142,0.0,294.0,3678.0,3384.0
5641SFR5S,198,0.0,77.0,4806.0,4729.0
5641SFR6S,147,0.0,390.0,3894.0,3504.0
5641SFR7S,147,0.0,390.0,3894.0,3504.0
5641SFR8S,198,0.0,78.0,4806.0,4728.0
5641SFR9S,198,0.0,78.0,4806.0,4728.0
5641SFRAS,147,0.0,390.0,3894.0,3504.0
5641SFRCS,198,0.0,78.0,4806.0,4728.0
5641SFRDS,198,0.0,77.0,4805.0,4728.0
5641SFRES,186,0.0,77.0,4517.0,4440.0
5641SFRFS,186,0.0,78.0,4518.0,4440.0
5641SFRGS,198,0.0,78.0,4806.0,4728.0
5641SFRHS,186,0.0,77.0,4518.0,4441.0
5641SFRIS,186,0.0,78.0,4518.0,4440.0
5641SFRJS,112,0.0,447.0,3302.0,2855.0
5641SFRLS,186,0.0,77.0,4518.0,4441.0
5641SFRMS,112,0.0,446.0,3302.0,2856.0
5641SFRNS,112,0.0,447.0,3446.0,2999.0
5641SFROS,112,0.0,447.0,3303.0,2856.0
5641SFRPS,112,0.0,447.0,3302.0,2855.0
5641SFRQS,198,0.0,78.0,4806.0,4728.0
5641SFRRS,87,0.0,438.0,2661.0,2223.0
5641SFRSS,198,0.0,78.0,4806.0,4728.0
5641SFRTS,198,0.0,78.0,4806.0,4728.0
5641SFRUS,112,0.0,447.0,3303.0,2856.0
5641SFRVS,112,0.0,446.0,3302.0,2856.0
5641SFRWS,198,0.0,78.0,4807.0,4729.0
5641SFRXS,198,0.0,78.0,4806.0,4728.0
5641SFRYS,112,0.0,446.0,3302.0,2856.0
5641SFRZS,112,0.0,446.0,3302.0,2856.0
5641SFS0S,112,0.0,447.0,3303.0,2856.0
5641SFS1S,109,0.0,446.0,3301.0,2855.0
5641SFS2S,112,0.0,446.0,3289.0,2843.0
5641SFS3S,186,0.0,78.0,4518.0,4440.0
5641SFS4S,112,0.0,446.0,3302.0,2856.0
5641SFS5S,112,0.0,446.0,3302.0,2856.0
5641SFS6S,112,0.0,446.0,3301.0,2855.0
5641SFS7S,112,0.0,445.0,3301.0,2856.0
5641SFS9S,186,0.0,59.0,4500.0,4441.0
5641SFSAS,186,0.0,78.0,4518.0,4440.0
564ESIYDS,11,0.0,15.0,254.0,239.0
564ESIYLS,24,0.0,8.0,561.0,553.0
564ESIYRS,186,0.0,78.0,4518.0,4440.0
564ESIYUS,147,0.0,389.0,3894.0,3505.0
564ESIYVS,186,0.0,61.0,4502.0,4441.0
564ESIYWS,186,0.0,78.0,4518.0,4440.0
564ESIYXS,147,0.0,389.0,3893.0,3504.0
564ESIYYS,142,0.0,294.0,3678.0,3384.0
564ESIYZS,186,0.0,77.0,4518.0,4441.0
564ESIZ0S,26,0.0,182.0,782.0,600.0
564ESIZ1S,26,0.0,182.0,782.0,600.0
564ESIZ2S,142,0.0,294.0,3677.0,3383.0
564ESIZ3S,26,0.0,184.0,784.0,600.0
564ESIZ4S,142,0.0,294.0,3678.0,3384.0
564ESIZ5S,26,0.0,183.0,782.0,599.0
564ESIZ8S,26,0.0,183.0,782.0,599.0
564ESIZCS,31,0.0,178.0,898.0,720.0
564ESIZFS,26,0.0,183.0,781.0,598.0
564ESIZGS,31,0.0,178.0,898.0,720.0
564ESIZIS,26,0.0,183.0,781.0,598.0
564ESIZJS,26,0.0,183.0,782.0,599.0
66GHS5MYS,26,0.0,183.0,783.0,600.0
66GHS5N3S,26,0.0,183.0,783.0,600.0
66GHS5N5S,26,0.0,183.0,783.0,600.0
66GHS5N6S,26,0.0,183.0,782.0,599.0
66GHS5N8S,26,0.0,183.0,781.0,598.0
66GHS5N9S,50,0.0,351.0,1526.0,1175.0
66GHS5NAS,50,0.0,350.0,1526.0,1176.0
66GHS5NBS,26,0.0,183.0,783.0,600.0
66GHS5NCS,50,0.0,350.0,1525.0,1175.0
66GHS5NDS,50,0.0,351.0,1527.0,1176.0
66GHS5NES,50,0.0,350.0,1527.0,1177.0
66GHS5NFS,50,0.0,351.0,1527.0,1176.0
66GHS5NHS,50,0.0,351.0,1526.0,1175.0
66GHS5NIS,50,0.0,351.0,1526.0,1175.0
66GHS5NJS,50,0.0,350.0,1526.0,1176.0
66GHS5NKS,50,0.0,350.0,1526.0,1176.0
66HLS2OFS,50,0.0,351.0,1527.0,1176.0
66HLS2OIS,50,0.0,350.0,1526.0,1176.0
66HLS2OJS,50,0.0,351.0,1527.0,1176.0
66HLS2OLS,50,0.0,351.0,1526.0,1175.0
66HLS2OMS,50,0.0,351.0,1527.0,1176.0
66HLS2ONS,50,0.0,350.0,1526.0,1176.0
66HLS2OQS,50,0.0,346.0,1522.0,1176.0
66HLS2OTS,50,0.0,346.0,1522.0,1176.0
66HLS2P1S,50,0.0,351.0,1526.0,1175.0
66HLS2P4S,50,0.0,351.0,1526.0,1175.0
