serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCAU41913379,345,0.0,23495.0,29414.0,5919.0
WD-WCAU42120876,343,0.0,23479.0,31446.0,7967.0
WD-WCAU42120985,284,0.0,43656.0,53983.0,10327.0
WD-WCAU42121020,345,0.0,23487.0,27634.0,4147.0
WD-WCAU42168454,232,0.0,43327.0,54519.0,11192.0
WD-WCAU42169335,291,0.0,43319.0,50932.0,7613.0
WD-WCAU42253525,459,0.0,43283.0,65261.0,21978.0
WD-WCAU42421459,301,0.0,43324.0,52871.0,9547.0
WD-WCAU42422013,437,0.0,43283.0,63096.0,19813.0
WD-WCAU42422174,444,0.0,43289.0,63648.0,20359.0
WD-WCAU42423166,437,0.0,43281.0,63503.0,20222.0
WD-WCAU42423442,318,0.0,43322.0,52621.0,9299.0
WD-WCAU42436248,120,0.0,43336.0,51045.0,7709.0
WD-WCAU42437743,228,0.0,43308.0,54659.0,11351.0
WD-WCAU42437760,291,0.0,43324.0,52027.0,8703.0
WD-WCAU42439281,468,0.0,43296.0,64297.0,21001.0
WD-WCAU42451607,109,1.0,43636.0,47994.0,4358.0
WD-WCAU42451771,168,0.0,43310.0,50992.0,7682.0
WD-WCAU42452323,444,0.0,43280.0,63631.0,20351.0
WD-WCAU42452735,108,0.0,43312.0,45880.0,2568.0
WD-WCAU42453953,301,0.0,43305.0,52844.0,9539.0
WD-WCAU42453993,235,0.0,43297.0,52695.0,9398.0
WD-WCAU42454268,444,0.0,43308.0,63613.0,20305.0
WD-WCAU42456127,291,0.0,43629.0,52356.0,8727.0
WD-WCAU42456747,1,1.0,21895.0,21895.0,0.0
WD-WCAU42459303,437,0.0,43283.0,63092.0,19809.0
WD-WCAU42460867,253,0.0,43307.0,52084.0,8777.0
WD-WCAU42470334,437,0.0,43291.0,63107.0,19816.0
WD-WCAU42472730,336,0.0,22152.0,27473.0,5321.0
WD-WCAU42473011,124,1.0,43319.0,47080.0,3761.0
WD-WCAU42473039,336,0.0,22149.0,28077.0,5928.0
WD-WCAU42473533,431,0.0,43302.0,62409.0,19107.0
WD-WCAU42473955,110,1.0,43317.0,47697.0,4380.0
WD-WCAU42474123,336,0.0,21898.0,27824.0,5926.0
WD-WCAU42474181,310,0.0,43306.0,52535.0,9229.0
WD-WCAU42474336,297,0.0,43313.0,51290.0,7977.0
WD-WCAU42474420,315,1.0,43340.0,52482.0,9142.0
WD-WCAU42474730,161,0.0,43330.0,51653.0,8323.0
WD-WCAU42475130,437,0.0,43279.0,63095.0,19816.0
WD-WCAU42475254,336,0.0,22147.0,27399.0,5252.0
WD-WCAU42477488,1,1.0,22145.0,22145.0,0.0
WD-WCAU42478869,345,0.0,23239.0,27553.0,4314.0
WD-WCAU42479711,108,0.0,43321.0,45889.0,2568.0
WD-WCAU42480356,468,0.0,43275.0,64273.0,20998.0
WD-WCAU42480701,325,0.0,43317.0,52799.0,9482.0
WD-WCAU42480774,468,0.0,43269.0,64267.0,20998.0
WD-WCAU42491159,294,0.0,43332.0,52321.0,8989.0
WD-WCAU42492151,352,0.0,43628.0,53989.0,10361.0
WD-WCAU42492663,432,0.0,43287.0,62556.0,19269.0
WD-WCAU42493351,345,0.0,43330.0,52420.0,9090.0
WD-WCAU42494586,299,0.0,43649.0,53869.0,10220.0
WD-WCAU42496389,210,0.0,43615.0,50505.0,6890.0
WD-WCAU44506094,336,0.0,22289.0,27591.0,5302.0
WD-WCAU44526426,336,0.0,22300.0,29375.0,7075.0
WD-WCAU44819471,345,0.0,23609.0,27756.0,4147.0
WD-WCAU44830097,412,0.0,43769.0,56117.0,12348.0
WD-WCAU44830742,108,0.0,43811.0,46193.0,2382.0
WD-WCAU44841624,108,0.0,43761.0,46332.0,2571.0
WD-WCAU44842862,345,0.0,23606.0,27753.0,4147.0
WD-WCAU44846874,336,0.0,22273.0,28200.0,5927.0
WD-WCAU44848073,345,0.0,23607.0,27754.0,4147.0
WD-WCAU44853056,336,0.0,22306.0,28233.0,5927.0
WD-WCAU44853186,336,0.0,22270.0,27529.0,5259.0
WD-WCAU44853524,108,0.0,43780.0,46353.0,2573.0
WD-WCAU44860331,368,0.0,43785.0,54577.0,10792.0
WD-WCAU44861627,336,0.0,22305.0,28187.0,5882.0
WD-WCAU44863101,345,0.0,23631.0,27778.0,4147.0
WD-WCAU44869077,236,0.0,43841.0,55300.0,11459.0
WD-WCAU44869117,364,0.0,43833.0,55402.0,11569.0
WD-WCAU44875322,345,0.0,23605.0,27752.0,4147.0
WD-WCAU44877716,338,0.0,43799.0,53619.0,9820.0
WD-WCAU44878685,345,0.0,23609.0,27756.0,4147.0
WD-WCAU44886712,328,0.0,43818.0,52287.0,8469.0
WD-WCAU44890249,336,0.0,22306.0,28188.0,5882.0
WD-WCAU44941709,345,0.0,23630.0,27777.0,4147.0
WD-WCAU45021714,606,0.0,42877.0,57922.0,15045.0
WD-WCAU45058398,589,0.0,42878.0,59626.0,16748.0
WD-WCAU45305005,594,0.0,42889.0,58346.0,15457.0
WD-WCAU45305104,575,0.0,42875.0,57078.0,14203.0
WD-WCAU45337585,566,0.0,42869.0,56437.0,13568.0
WD-WCAU45449557,583,0.0,42856.0,57090.0,14234.0
WD-WCAU45542528,581,0.0,42883.0,57178.0,14295.0
WD-WCAU45557838,606,0.0,42847.0,57878.0,15031.0
WD-WCAU45565920,582,0.0,42880.0,57534.0,14654.0
WD-WCAU45613665,566,0.0,42878.0,56737.0,13859.0
WD-WCAU45623514,562,0.0,42886.0,56304.0,13418.0
WD-WCAU45636788,576,0.0,42876.0,57690.0,14814.0
