serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCAU44503142,437,0.0,42758.0,62530.0,19772.0
WD-WCAU44995264,450,1.0,41776.0,52819.0,11043.0
WD-WCAU45014645,686,0.0,42279.0,60217.0,17938.0
WD-WCAU45043025,130,0.0,41881.0,46462.0,4581.0
WD-WCAU45044432,684,0.0,39464.0,56213.0,16749.0
WD-WCAU45048077,443,0.0,41684.0,52045.0,10361.0
WD-WCAU45053088,632,0.0,41718.0,57164.0,15446.0
WD-WCAU45137332,345,0.0,22568.0,26715.0,4147.0
WD-WCAU45139142,632,0.0,41711.0,57185.0,15474.0
WD-WCAU45140191,565,0.0,41021.0,55446.0,14425.0
WD-WCAU45143235,564,0.0,40951.0,54833.0,13882.0
WD-WCAU45177261,599,0.0,36405.0,51303.0,14898.0
WD-WCAU45177480,349,0.0,41876.0,50548.0,8672.0
WD-WCAU45177521,570,0.0,41145.0,55367.0,14222.0
WD-WCAU45177666,645,0.0,41713.0,58896.0,17183.0
WD-WCAU45177690,120,0.0,41892.0,44687.0,2795.0
WD-WCAU45177905,570,0.0,41062.0,55256.0,14194.0
WD-WCAU45177912,336,0.0,41014.0,50201.0,9187.0
WD-WCAU45177913,632,0.0,41785.0,57262.0,15477.0
WD-WCAU45177956,663,0.0,41748.0,58377.0,16629.0
WD-WCAU45178029,636,1.0,41739.0,57627.0,15888.0
WD-WCAU45178228,647,0.0,41815.0,58326.0,16511.0
WD-WCAU45178311,468,0.0,42345.0,63266.0,20921.0
WD-WCAU45218084,296,0.0,41068.0,47940.0,6872.0
WD-WCAU45228964,443,0.0,42778.0,62932.0,20154.0
WD-WCAU45241659,632,0.0,41708.0,57149.0,15441.0
WD-WCAU45241734,429,0.0,42392.0,52523.0,10131.0
WD-WCAU45241739,453,0.0,42284.0,62601.0,20317.0
WD-WCAU45241747,108,0.0,41798.0,44353.0,2555.0
WD-WCAU45241783,546,0.0,40986.0,54894.0,13908.0
WD-WCAU45241807,459,0.0,42303.0,64212.0,21909.0
WD-WCAU45241813,128,1.0,41858.0,45304.0,3446.0
WD-WCAU45241833,310,0.0,41048.0,49933.0,8885.0
WD-WCAU45241855,345,0.0,22576.0,26723.0,4147.0
WD-WCAU45241890,128,1.0,41872.0,45322.0,3450.0
WD-WCAU45241923,336,0.0,21224.0,27150.0,5926.0
WD-WCAU45241941,15,1.0,41087.0,41418.0,331.0
WD-WCAU45241958,128,1.0,41849.0,45299.0,3450.0
