serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCAV5T452720,354,0.0,12.0,14962.0,14950.0
WD-WCAV5V250399,335,0.0,9.0,7997.0,7988.0
WD-WCAV5V250650,335,0.0,9.0,7997.0,7988.0
WD-WCAV5V294111,344,0.0,7.0,7899.0,7892.0
WD-WCAV5V341732,345,0.0,5497.0,13803.0,8306.0
WD-WCAV5V368404,335,0.0,9.0,7997.0,7988.0
WD-WCAV5V368968,345,0.0,5496.0,13796.0,8300.0
WD-WCAV5V371052,336,0.0,19.0,8284.0,8265.0
WD-WCAV5V373685,591,0.0,4964.0,20122.0,15158.0
WD-WCAV5V382847,325,1.0,10.0,8489.0,8479.0
WD-WCAV5V385108,335,0.0,9.0,7996.0,7987.0
WD-WCAV5V395871,224,1.0,608.0,5775.0,5167.0
WD-WCAV5V405024,437,0.0,9005.0,28994.0,19989.0
WD-WCAV5V405085,591,0.0,12606.0,27412.0,14806.0
WD-WCAV5V405164,680,0.0,9922.0,26628.0,16706.0
WD-WCAV5V405165,122,1.0,9597.0,16497.0,6900.0
WD-WCAV5V405178,568,0.0,12610.0,25962.0,13352.0
WD-WCAV5V405221,296,0.0,7140.0,14085.0,6945.0
WD-WCAV5V405288,437,0.0,9028.0,28651.0,19623.0
WD-WCAV5V406870,224,0.0,10036.0,19765.0,9729.0
WD-WCAV5V406959,705,0.0,10038.0,28453.0,18415.0
WD-WCAV5V407037,688,0.0,9936.0,27089.0,17153.0
WD-WCAV5V407083,125,0.0,9430.0,16861.0,7431.0
WD-WCAV5V407116,442,1.0,12670.0,23037.0,10367.0
WD-WCAV5V407185,583,0.0,10950.0,25812.0,14862.0
WD-WCAV5V407327,459,0.0,9009.0,30773.0,21764.0
WD-WCAV5V407349,121,0.0,8933.0,16015.0,7082.0
WD-WCAV5V407387,429,0.0,8949.0,18913.0,9964.0
WD-WCAV5V407414,685,0.0,9665.0,26967.0,17302.0
