serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCC1T0275705,650,0.0,155.0,16027.0,15872.0
WD-WCC1T0777821,841,0.0,13.0,20575.0,20562.0
WD-WCC1T0816362,423,0.0,11.0,10244.0,10233.0
WD-WCC1T0820297,999,0.0,13.0,24296.0,24283.0
WD-WCC1T0828419,779,0.0,13.0,19142.0,19129.0
WD-WCC1T0840761,986,0.0,10.0,24198.0,24188.0
WD-WCC1T0851258,39,1.0,6.0,914.0,908.0
WD-WCC1T0852374,1009,0.0,56.0,24804.0,24748.0
WD-WCC1T0878043,949,0.0,9.0,23861.0,23852.0
WD-WCC1T0879613,602,0.0,276.0,14929.0,14653.0
WD-WCC1T0911669,1009,0.0,16.0,24539.0,24523.0
WD-WCC1T0911922,984,0.0,13.0,24818.0,24805.0
WD-WCC1T0925548,972,0.0,13.0,24169.0,24156.0
WD-WCC1T0937285,990,0.0,8.0,24773.0,24765.0
WD-WCC1T1088681,69,1.0,10.0,1638.0,1628.0
WD-WCC1T1089178,1029,0.0,2626.0,28081.0,25455.0
WD-WCC1T1089230,397,1.0,1433.0,10494.0,9061.0
WD-WCC1T1089795,23,1.0,2626.0,3059.0,433.0
WD-WCC1T1165861,1063,0.0,2169.0,27899.0,25730.0
WD-WCC1T1177568,1093,0.0,1376.0,27624.0,26248.0
WD-WCC1T1192641,1044,0.0,1524.0,26838.0,25314.0
WD-WCC1T1192758,930,0.0,1345.0,24254.0,22909.0
WD-WCC1T1192820,1019,0.0,2215.0,27284.0,25069.0
WD-WCC1T1212351,993,0.0,1352.0,26572.0,25220.0
WD-WCC1T1212437,35,1.0,1186.0,1999.0,813.0
WD-WCC1T1225390,1044,0.0,1377.0,26691.0,25314.0
WD-WCC1T1229677,990,0.0,1687.0,26783.0,25096.0
WD-WCC1T1239639,545,0.0,1953.0,15005.0,13052.0
WD-WCC1T1239903,996,0.0,1374.0,25844.0,24470.0
WD-WCC1T1240489,1093,0.0,1376.0,27624.0,26248.0
WD-WCC1T1241616,268,0.0,1186.0,7584.0,6398.0
WD-WCC1T1242518,990,0.0,1524.0,26620.0,25096.0
WD-WCC1T1243425,1093,0.0,1973.0,28222.0,26249.0
WD-WCC1T1243617,995,0.0,1688.0,26912.0,25224.0
WD-WCC1T1244203,1041,0.0,1981.0,28101.0,26120.0
WD-WCC1T1244535,1031,0.0,1688.0,27097.0,25409.0
WD-WCC1T1244638,1003,0.0,1348.0,26228.0,24880.0
WD-WCC1T1245078,962,0.0,1307.0,25850.0,24543.0
WD-WCC1T1245325,1080,0.0,2217.0,28255.0,26038.0
WD-WCC1T1247371,1053,0.0,1810.0,27679.0,25869.0
WD-WCC1T1247380,444,1.0,1798.0,13463.0,11665.0
WD-WCC1T1247621,1093,0.0,1686.0,27934.0,26248.0
WD-WCC1T1247982,1017,0.0,1810.0,27118.0,25308.0
WD-WCC1T1248534,1057,0.0,2217.0,27702.0,25485.0
WD-WCC1T1249414,615,0.0,1955.0,16810.0,14855.0
WD-WCC1T1249741,1026,0.0,1524.0,26716.0,25192.0
WD-WCC1T1249762,1037,0.0,2190.0,28210.0,26020.0
WD-WCC1T1252551,1017,0.0,1307.0,25948.0,24641.0
WD-WCC1T1252685,1059,0.0,1181.0,26828.0,25647.0
WD-WCC1T1252725,930,0.0,2023.0,25685.0,23662.0
WD-WCC1T1255185,1038,0.0,1857.0,27329.0,25472.0
WD-WCC1T1256311,1092,0.0,1186.0,27412.0,26226.0
WD-WCC1T1257577,1017,0.0,2188.0,27497.0,25309.0
WD-WCC1T1257982,947,0.0,1327.0,25666.0,24339.0
WD-WCC1T1258407,924,0.0,12.0,23817.0,23805.0
WD-WCC1T1258455,934,0.0,1523.0,25345.0,23822.0
WD-WCC1T1260289,297,1.0,1830.0,10299.0,8469.0
WD-WCC1T1261696,976,0.0,1327.0,25645.0,24318.0
WD-WCC1T1261715,951,0.0,60.0,23796.0,23736.0
WD-WCC1T1262523,500,1.0,1524.0,13557.0,12033.0
WD-WCC1T1263421,353,1.0,1186.0,9928.0,8742.0
WD-WCC1T1263610,503,0.0,1349.0,13473.0,12124.0
WD-WCC1T1264401,636,0.0,1348.0,16702.0,15354.0
WD-WCC1T1265950,984,0.0,1349.0,26039.0,24690.0
WD-WCC1T1267379,631,0.0,1306.0,16545.0,15239.0
WD-WCC1T1270096,404,1.0,1185.0,10867.0,9682.0
WD-WCC1T1271272,976,0.0,1186.0,25907.0,24721.0
WD-WCC1T1273436,976,0.0,1327.0,25645.0,24318.0
WD-WCC1T1273450,947,0.0,1187.0,25526.0,24339.0
WD-WCC1T1273948,1093,0.0,1306.0,27553.0,26247.0
WD-WCC1T1275355,334,1.0,1517.0,10089.0,8572.0
WD-WCC1T1276267,78,1.0,1810.0,3653.0,1843.0
WD-WCC1T1276346,1023,0.0,2217.0,26884.0,24667.0
WD-WCC1T1276382,306,1.0,2217.0,10638.0,8421.0
WD-WCC1T1276696,980,0.0,1186.0,25276.0,24090.0
WD-WCC1T1276703,987,0.0,12.0,24835.0,24823.0
WD-WCC1T1276789,610,1.0,10.0,14834.0,14824.0
WD-WCC1T1276824,784,0.0,1952.0,20887.0,18935.0
WD-WCC1T1276913,913,0.0,10.0,22994.0,22984.0
WD-WCC1T1276961,15,1.0,1525.0,1860.0,335.0
WD-WCC1T1277753,976,0.0,1473.0,25791.0,24318.0
WD-WCC1T1278164,955,0.0,1688.0,24924.0,23236.0
WD-WCC1T1278326,1093,0.0,2164.0,28412.0,26248.0
WD-WCC1T1278392,1093,0.0,1686.0,27934.0,26248.0
WD-WCC1T1278777,1026,0.0,1688.0,26880.0,25192.0
WD-WCC1T1279278,1023,0.0,2217.0,26883.0,24666.0
WD-WCC1T1279472,1063,0.0,1810.0,27540.0,25730.0
WD-WCC1T1279957,378,1.0,1855.0,11508.0,9653.0
WD-WCC1T1280135,869,0.0,10.0,22499.0,22489.0
WD-WCC1T1281421,930,0.0,1345.0,24254.0,22909.0
WD-WCC1T1281618,1041,0.0,2148.0,28267.0,26119.0
WD-WCC1T1281736,1002,0.0,850.0,26081.0,25231.0
WD-WCC1T1282543,856,0.0,10.0,21661.0,21651.0
WD-WCC1T1282574,994,0.0,34.0,25025.0,24991.0
WD-WCC1T1282931,996,0.0,1374.0,25827.0,24453.0
WD-WCC1T1283374,1024,0.0,1855.0,27459.0,25604.0
WD-WCC1T1283393,277,1.0,2217.0,9810.0,7593.0
WD-WCC1T1411281,997,0.0,10.0,24882.0,24872.0
WD-WCC1T1425170,656,0.0,276.0,16146.0,15870.0
WD-WCC1T1485146,961,0.0,10.0,23986.0,23976.0
WD-WCC1T1486227,1093,0.0,1495.0,27744.0,26249.0
WD-WCC1T1486869,994,0.0,1520.0,26294.0,24774.0
WD-WCC1T1487328,992,0.0,82.0,25025.0,24943.0
WD-WCC1T1487974,997,0.0,10.0,24876.0,24866.0
WD-WCC1T1501799,256,1.0,1376.0,8509.0,7133.0
WD-WCC1T1504265,976,0.0,1187.0,25523.0,24336.0
WD-WCC1T1604612,816,0.0,10.0,20489.0,20479.0
WD-WCC1T1614204,930,0.0,9.0,23093.0,23084.0
WD-WCC1T1619955,419,1.0,10.0,10241.0,10231.0
WD-WCC1T1629725,911,0.0,9.0,23011.0,23002.0
WD-WCC4N0188531,956,0.0,8.0,23633.0,23625.0
WD-WCC4N0189558,1059,0.0,464.0,26043.0,25579.0
WD-WCC4N0189617,657,0.0,9.0,17025.0,17016.0
WD-WCC4N0194561,1027,0.0,11.0,25695.0,25684.0
WD-WCC4N0194579,274,0.0,467.0,7004.0,6537.0
WD-WCC4N0196794,950,0.0,13.0,23495.0,23482.0
WD-WCC4N0212233,1010,0.0,14.0,24601.0,24587.0
WD-WCC4N0212478,999,0.0,13.0,24294.0,24281.0
WD-WCC4N0215393,1041,0.0,33.0,26052.0,26019.0
WD-WCC4N0215706,1040,0.0,57.0,26053.0,25996.0
WD-WCC4N0219513,1062,0.0,13.0,25518.0,25505.0
WD-WCC4N0222974,66,1.0,13.0,1570.0,1557.0
WD-WCC4N0222988,936,0.0,12.0,23128.0,23116.0
WD-WCC4N0224047,656,0.0,276.0,16144.0,15868.0
WD-WCC4N0226811,845,0.0,8.0,21248.0,21240.0
WD-WCC4N0250690,934,0.0,347.0,24097.0,23750.0
WD-WCC4N0254638,1024,0.0,13.0,25227.0,25214.0
WD-WCC4N0254819,992,0.0,79.0,24823.0,24744.0
WD-WCC4N0254843,943,0.0,488.0,24578.0,24090.0
WD-WCC4N0254879,87,1.0,8.0,2068.0,2060.0
WD-WCC4N0254884,1024,0.0,11.0,25530.0,25519.0
WD-WCC4N0254960,471,1.0,12.0,12142.0,12130.0
WD-WCC4N0254965,861,0.0,14.0,20713.0,20699.0
WD-WCC4N0257544,967,0.0,466.0,24752.0,24286.0
WD-WCC4N0261529,1093,0.0,349.0,26596.0,26247.0
WD-WCC4N0261989,965,0.0,8.0,23537.0,23529.0
WD-WCC4N0261991,562,0.0,11.0,13859.0,13848.0
WD-WCC4N0269533,656,0.0,276.0,16145.0,15869.0
WD-WCC4N0277057,433,1.0,12.0,11023.0,11011.0
WD-WCC4N0277094,964,0.0,294.0,24216.0,23922.0
WD-WCC4N0277126,1027,0.0,80.0,25488.0,25408.0
WD-WCC4N0278126,885,0.0,13.0,23065.0,23052.0
WD-WCC4N0278224,978,0.0,8.0,24285.0,24277.0
WD-WCC4N0279455,987,0.0,36.0,24614.0,24578.0
WD-WCC4N0279908,1005,0.0,12.0,24685.0,24673.0
WD-WCC4N0280522,993,0.0,54.0,24186.0,24132.0
WD-WCC4N0282814,1020,0.0,11.0,25527.0,25516.0
WD-WCC4N0282881,1023,0.0,33.0,24818.0,24785.0
WD-WCC4N0282909,1072,0.0,9.0,25754.0,25745.0
WD-WCC4N0282921,1093,0.0,487.0,26734.0,26247.0
WD-WCC4N0282946,1045,0.0,489.0,26026.0,25537.0
WD-WCC4N0285747,182,0.0,8.0,4347.0,4339.0
WD-WCC4N0285753,887,0.0,8.0,21951.0,21943.0
WD-WCC4N0285763,884,0.0,13.0,22564.0,22551.0
WD-WCC4N0285780,888,0.0,12.0,22909.0,22897.0
WD-WCC4N0285787,884,0.0,13.0,22565.0,22552.0
WD-WCC4N0287071,839,0.0,10.0,20720.0,20710.0
WD-WCC4N0287072,961,0.0,336.0,24415.0,24079.0
WD-WCC4N0287105,1058,0.0,13.0,25478.0,25465.0
WD-WCC4N0287560,891,0.0,11.0,21861.0,21850.0
WD-WCC4N0287663,949,0.0,11.0,23799.0,23788.0
WD-WCC4N0288198,1093,0.0,268.0,26515.0,26247.0
WD-WCC4N0288269,1016,0.0,13.0,24509.0,24496.0
WD-WCC4N0288275,928,0.0,295.0,23453.0,23158.0
WD-WCC4N0288344,411,1.0,10.0,9859.0,9849.0
WD-WCC4N0288504,1000,0.0,9.0,24090.0,24081.0
WD-WCC4N0289398,1066,0.0,295.0,26022.0,25727.0
WD-WCC4N0290074,1066,0.0,295.0,26020.0,25725.0
WD-WCC4N0291471,1054,0.0,296.0,26204.0,25908.0
WD-WCC4N0291549,973,0.0,32.0,23865.0,23833.0
WD-WCC4N0291682,297,1.0,9.0,7932.0,7923.0
WD-WCC4N0291745,1029,0.0,9.0,25642.0,25633.0
WD-WCC4N0291850,955,0.0,31.0,23241.0,23210.0
WD-WCC4N0291856,1063,0.0,56.0,25870.0,25814.0
WD-WCC4N0291928,445,1.0,294.0,11139.0,10845.0
WD-WCC4N0292853,1023,0.0,32.0,24818.0,24786.0
WD-WCC4N0292866,930,0.0,12.0,22746.0,22734.0
WD-WCC4N0292916,994,0.0,465.0,25569.0,25104.0
WD-WCC4N0295724,952,0.0,10.0,23746.0,23736.0
WD-WCC4N0295729,975,0.0,13.0,23559.0,23546.0
WD-WCC4N0295730,958,0.0,8.0,23526.0,23518.0
WD-WCC4N0295733,948,0.0,10.0,23715.0,23705.0
WD-WCC4N0295739,888,0.0,12.0,22907.0,22895.0
WD-WCC4N0295740,288,0.0,8.0,6937.0,6929.0
WD-WCC4N0295746,958,0.0,8.0,23526.0,23518.0
WD-WCC4N0295755,954,0.0,12.0,23371.0,23359.0
WD-WCC4N0295764,910,0.0,8.0,23656.0,23648.0
WD-WCC4N0295765,943,0.0,8.0,23601.0,23593.0
WD-WCC4N0295787,923,0.0,9.0,22368.0,22359.0
WD-WCC4N0295823,1093,0.0,349.0,26595.0,26246.0
WD-WCC4N0295866,555,1.0,12.0,13889.0,13877.0
WD-WCC4N0298153,894,0.0,13.0,22053.0,22040.0
WD-WCC4N0298160,880,0.0,13.0,21504.0,21491.0
WD-WCC4N0298257,472,1.0,445.0,11757.0,11312.0
WD-WCC4N0298413,276,0.0,488.0,7075.0,6587.0
WD-WCC4N0298445,1038,0.0,465.0,26376.0,25911.0
WD-WCC4N0298466,564,0.0,1.0,13588.0,13587.0
WD-WCC4N0298636,971,0.0,13.0,23606.0,23593.0
WD-WCC4N0298671,878,0.0,9.0,22418.0,22409.0
WD-WCC4N0298849,1053,0.0,489.0,26356.0,25867.0
WD-WCC4N0298962,1030,0.0,11.0,24987.0,24976.0
WD-WCC4N0298965,55,1.0,9.0,1300.0,1291.0
WD-WCC4N0298977,581,0.0,9.0,13979.0,13970.0
WD-WCC4N0299339,15,1.0,11.0,347.0,336.0
WD-WCC4N0299367,50,1.0,12.0,1185.0,1173.0
WD-WCC4N0299836,7,1.0,348.0,492.0,144.0
WD-WCC4N0300244,1063,0.0,489.0,26201.0,25712.0
WD-WCC4N0300258,1029,0.0,11.0,25215.0,25204.0
WD-WCC4N0300272,1037,0.0,468.0,25905.0,25437.0
WD-WCC4N0300348,1038,0.0,488.0,26341.0,25853.0
WD-WCC4N0300356,1066,0.0,489.0,26400.0,25911.0
WD-WCC4N0300786,315,1.0,490.0,8992.0,8502.0
WD-WCC4N0300818,1024,0.0,11.0,25527.0,25516.0
WD-WCC4N0300877,881,0.0,489.0,21884.0,21395.0
WD-WCC4N0301231,958,0.0,9.0,23951.0,23942.0
WD-WCC4N0301239,910,0.0,8.0,23656.0,23648.0
WD-WCC4N0301240,896,0.0,12.0,23553.0,23541.0
WD-WCC4N0312019,348,1.0,13.0,8904.0,8891.0
WD-WCC4N0317093,1064,0.0,488.0,26327.0,25839.0
WD-WCC4N0317214,974,1.0,9.0,24411.0,24402.0
WD-WCC4N0317237,926,0.0,13.0,22264.0,22251.0
WD-WCC4N0317441,980,0.0,348.0,24447.0,24099.0
WD-WCC4N0319651,948,0.0,13.0,23056.0,23043.0
WD-WCC4N0319775,1093,0.0,349.0,26596.0,26247.0
WD-WCC4N0319850,917,0.0,127.0,22701.0,22574.0
WD-WCC4N0319852,1057,0.0,12.0,25543.0,25531.0
WD-WCC4N0320446,937,0.0,316.0,24030.0,23714.0
WD-WCC4N0320465,932,0.0,12.0,24389.0,24377.0
WD-WCC4N0320508,1038,0.0,13.0,25382.0,25369.0
WD-WCC4N0322099,288,1.0,13.0,7276.0,7263.0
WD-WCC4N0322794,287,0.0,12.0,6893.0,6881.0
WD-WCC4N0322853,961,0.0,9.0,23555.0,23546.0
WD-WCC4N0323025,1054,0.0,296.0,26204.0,25908.0
WD-WCC4N0324504,364,1.0,12.0,9150.0,9138.0
WD-WCC4N0324593,220,0.0,9.0,5582.0,5573.0
WD-WCC4N0324597,228,1.0,7.0,5442.0,5435.0
WD-WCC4N0324795,964,0.0,37.0,24422.0,24385.0
WD-WCC4N0324812,988,0.0,14.0,24329.0,24315.0
WD-WCC4N0324845,928,0.0,316.0,23472.0,23156.0
WD-WCC4N0325460,954,0.0,9.0,23432.0,23423.0
WD-WCC4N0327463,1039,0.0,490.0,26371.0,25881.0
WD-WCC4N0327690,957,0.0,295.0,24716.0,24421.0
WD-WCC4N0328608,956,0.0,8.0,23633.0,23625.0
WD-WCC4N0328648,988,0.0,489.0,25598.0,25109.0
WD-WCC4N0328827,908,0.0,13.0,23014.0,23001.0
WD-WCC4N0337188,1093,0.0,488.0,26736.0,26248.0
WD-WCC4N0337500,167,1.0,467.0,4440.0,3973.0
WD-WCC4N0338557,894,0.0,12.0,22117.0,22105.0
WD-WCC4N0338643,1009,0.0,9.0,24248.0,24239.0
WD-WCC4N0338673,330,1.0,348.0,9210.0,8862.0
WD-WCC4N0338852,1015,0.0,13.0,25374.0,25361.0
WD-WCC4N0338899,862,0.0,13.0,22275.0,22262.0
WD-WCC4N0345630,968,0.0,7.0,23764.0,23757.0
WD-WCC4N0358254,1015,0.0,7.0,24387.0,24380.0
WD-WCC4N0359886,977,0.0,8.0,23890.0,23882.0
WD-WCC4N0359993,876,0.0,9.0,21339.0,21330.0
WD-WCC4N0361086,961,0.0,13.0,23602.0,23589.0
WD-WCC4N0361108,959,0.0,13.0,23709.0,23696.0
WD-WCC4N0361409,989,0.0,10.0,23772.0,23762.0
WD-WCC4N0361432,936,0.0,8.0,23487.0,23479.0
WD-WCC4N0364479,990,0.0,6.0,23974.0,23968.0
WD-WCC4N0368265,967,0.0,8.0,24339.0,24331.0
