serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCAWZ0167273,50,0.0,12700.0,13869.0,1169.0
WD-WCAWZ0214920,50,0.0,12390.0,13561.0,1171.0
WD-WCAWZ0255502,96,0.0,12021.0,14318.0,2297.0
WD-WCAWZ0257539,3,1.0,10675.0,10722.0,47.0
WD-WCAWZ0258256,21,0.0,11072.0,11552.0,480.0
WD-WCAWZ0276106,96,0.0,13186.0,15483.0,2297.0
WD-WCAWZ0288818,21,0.0,14998.0,15477.0,479.0
WD-WCAWZ0360217,37,0.0,14610.0,15469.0,859.0
WD-WCAWZ0391925,59,0.0,16145.0,17532.0,1387.0
WD-WCAWZ0414312,21,0.0,14997.0,15477.0,480.0
WD-WCAWZ0420469,88,0.0,16255.0,18337.0,2082.0
WD-WCAWZ0421453,37,0.0,11900.0,12760.0,860.0
WD-WCAWZ0430639,37,0.0,13385.0,14244.0,859.0
WD-WCAWZ0460057,37,0.0,12868.0,13728.0,860.0
WD-WCAWZ1313374,37,0.0,12842.0,13701.0,859.0
