serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCAWZ0445329,88,0.0,17495.0,19575.0,2080.0
WD-WCAWZ0487212,59,0.0,16148.0,17537.0,1389.0
WD-WCAWZ0488019,88,0.0,17509.0,19590.0,2081.0
WD-WCAWZ0488078,88,0.0,17488.0,19566.0,2078.0
WD-WCAWZ0488299,88,0.0,17492.0,19572.0,2080.0
WD-WCAWZ0488490,88,0.0,17503.0,19585.0,2082.0
WD-WCAWZ0488650,88,0.0,17487.0,19565.0,2078.0
WD-WCAWZ0488822,21,0.0,16630.0,17110.0,480.0
WD-WCAWZ0489200,21,0.0,16631.0,17111.0,480.0
WD-WCAWZ0489422,88,0.0,17507.0,19588.0,2081.0
WD-WCAWZ0489510,88,0.0,17487.0,19568.0,2081.0
WD-WCAWZ0489867,21,0.0,14997.0,15476.0,479.0
WD-WCAWZ0489932,88,0.0,17499.0,19580.0,2081.0
WD-WCAWZ0490947,21,0.0,14997.0,15476.0,479.0
WD-WCAWZ0491314,21,0.0,16631.0,17110.0,479.0
WD-WCAWZ0492776,21,0.0,16633.0,17112.0,479.0
WD-WCAWZ0494676,21,0.0,16632.0,17111.0,479.0
WD-WCAWZ0494899,88,0.0,17510.0,19591.0,2081.0
WD-WCAWZ0495295,21,0.0,16631.0,17111.0,480.0
WD-WCAWZ0495476,88,0.0,17487.0,19567.0,2080.0
WD-WCAWZ0495876,88,0.0,17487.0,19568.0,2081.0
WD-WCAWZ0498996,88,0.0,17488.0,19568.0,2080.0
WD-WCAWZ0503493,88,0.0,17499.0,19580.0,2081.0
WD-WCAWZ0504401,21,0.0,16631.0,17110.0,479.0
WD-WCAWZ0504627,37,0.0,13723.0,14583.0,860.0
WD-WCAWZ0504875,88,0.0,17479.0,19559.0,2080.0
WD-WCAWZ0505494,21,0.0,16629.0,17109.0,480.0
WD-WCAWZ0505567,21,0.0,16632.0,17111.0,479.0
WD-WCAWZ0505828,21,0.0,16629.0,17109.0,480.0
WD-WCAWZ0505927,21,0.0,16630.0,17109.0,479.0
WD-WCAWZ0506409,88,0.0,17497.0,19578.0,2081.0
WD-WCAWZ0506565,21,0.0,16630.0,17109.0,479.0
WD-WCAWZ0506571,88,0.0,17480.0,19561.0,2081.0
WD-WCAWZ0539042,88,0.0,17496.0,19577.0,2081.0
WD-WCAWZ0558788,50,0.0,18120.0,19292.0,1172.0
WD-WCAWZ0582027,21,0.0,14998.0,15478.0,480.0
WD-WCAWZ0583228,21,0.0,16631.0,16936.0,305.0
WD-WCAWZ0585570,21,0.0,16632.0,17112.0,480.0
WD-WCAWZ0639859,21,0.0,10764.0,11243.0,479.0
WD-WCAWZ0674027,50,0.0,18115.0,19286.0,1171.0
WD-WCAWZ0676043,37,0.0,12857.0,13716.0,859.0
WD-WCAWZ0676824,90,0.0,11052.0,13201.0,2149.0
WD-WCAWZ0685534,37,0.0,12863.0,13723.0,860.0
WD-WCAWZ0698793,50,0.0,18122.0,19294.0,1172.0
WD-WCAWZ0746339,23,1.0,9698.0,9698.0,0.0
WD-WCAWZ0746659,37,0.0,16571.0,17430.0,859.0
WD-WCAWZ0753456,37,0.0,12856.0,13715.0,859.0
WD-WCAWZ0778611,50,0.0,18122.0,19294.0,1172.0
WD-WCAWZ0800149,88,0.0,17467.0,19548.0,2081.0
WD-WCAWZ0800761,37,0.0,16572.0,17431.0,859.0
