serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WX21AA347210,889,0.0,56.0,21731.0,21675.0
WD-WX21AA348747,890,0.0,107.0,21662.0,21555.0
WD-WX21AA349283,387,1.0,33.0,9311.0,9278.0
WD-WXA1AA382552,201,1.0,111.0,4930.0,4819.0
WD-WXA1AA3L4942,849,0.0,103.0,21177.0,21074.0
WD-WXA1AA3L7285,876,0.0,33.0,21372.0,21339.0
WD-WXA1AA3L8456,876,0.0,7.0,21346.0,21339.0
WD-WXB1AA371003,902,0.0,32.0,21680.0,21648.0
WD-WXB1AA3W0059,852,0.0,54.0,20461.0,20407.0
WD-WXB1AA3W1813,889,0.0,58.0,21732.0,21674.0
WD-WXB1AA3W1886,509,1.0,31.0,12571.0,12540.0
WD-WXB1AA3W2516,537,1.0,126.0,13649.0,13523.0
WD-WXB1AA3W2572,864,0.0,103.0,21177.0,21074.0
WD-WXB1AA3W2910,153,1.0,54.0,3721.0,3667.0
