serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WX21E42RV951,1046,0.0,8197.0,33328.0,25131.0
WD-WX21E42RW537,1045,0.0,7620.0,32798.0,25178.0
WD-WX21E42RW708,1026,0.0,7220.0,32096.0,24876.0
WD-WX21E42UY166,1047,0.0,7511.0,32687.0,25176.0
WD-WX31A82A4543,1044,0.0,8201.0,33333.0,25132.0
WD-WX71A81M7051,1039,0.0,8189.0,33194.0,25005.0
WD-WX81A82D4239,1029,0.0,8203.0,33135.0,24932.0
WD-WX81A82J6604,1042,0.0,8187.0,33288.0,25101.0
WD-WXA1E42VAR68,1042,0.0,7498.0,32603.0,25105.0
WD-WXA1E42VAT12,1048,0.0,6688.0,31882.0,25194.0
WD-WXA1E42VAV48,1025,0.0,2238.0,24514.0,22276.0
WD-WXA1E42VAW85,1028,0.0,8167.0,32938.0,24771.0
WD-WXA1E42VAX65,1030,0.0,8202.0,33140.0,24938.0
WD-WXA1E42VCE18,1041,0.0,8199.0,33298.0,25099.0
WD-WXC1A8277330,1049,0.0,5743.0,30936.0,25193.0
WD-WXE1A82D0761,1045,0.0,7758.0,32858.0,25100.0
WD-WXK1E72CZAV6,1034,0.0,8199.0,33157.0,24958.0
WD-WXK1E72CZDF1,1045,0.0,7508.0,32606.0,25098.0
WD-WXK1E72CZFU3,1047,0.0,6854.0,32027.0,25173.0
WD-WXK1E72CZFY4,1045,0.0,8202.0,33303.0,25101.0
WD-WXK1E72CZNX5,1042,0.0,7624.0,32726.0,25102.0
WD-WXK1E72DAEH5,1044,0.0,7218.0,32388.0,25170.0
WD-WXK1E72DAEK3,1000,0.0,8164.0,32494.0,24330.0
WD-WXL1A81P6867,1048,0.0,7509.0,32682.0,25173.0
