serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WX21E94DHUZJ,191,0.0,244.0,4800.0,4556.0
WD-WX31E85F7NMP,87,0.0,438.0,2658.0,2220.0
WD-WX41A85J8ZYZ,191,0.0,242.0,4798.0,4556.0
WD-WXB1AB50V5KU,186,0.0,77.0,4514.0,4437.0
WD-WXB1AB51L534,191,0.0,241.0,4798.0,4557.0
WD-WXB1AB51LA9U,191,0.0,245.0,4801.0,4556.0
WD-WXB1AB51LRX7,147,0.0,390.0,3891.0,3501.0
WD-WXB1AB51LVUL,191,0.0,245.0,4801.0,4556.0
WD-WXB1AB51LY40,191,0.0,245.0,4801.0,4556.0
WD-WXB1AB527399,142,0.0,294.0,3676.0,3382.0
WD-WXB1AB527831,147,0.0,390.0,3892.0,3502.0
WD-WXB1AB527CJK,112,0.0,445.0,3299.0,2854.0
WD-WXC1AA5CE99H,186,0.0,78.0,4514.0,4436.0
WD-WXC1AA5CEUD6,142,0.0,294.0,3675.0,3381.0
WD-WXC1AA5DR5VD,191,0.0,245.0,4802.0,4557.0
WD-WXC1AB509TD8,142,0.0,293.0,3669.0,3376.0
WD-WXC1AB53PLZ9,191,0.0,243.0,4800.0,4557.0
WD-WXD1AB54FH6D,186,0.0,75.0,4513.0,4438.0
WD-WXD1AB54FNR3,191,0.0,244.0,4800.0,4556.0
WD-WXD1AB5LKSZX,191,0.0,245.0,4801.0,4556.0
WD-WXE1A16109R9,147,0.0,388.0,3890.0,3502.0
WD-WXE1AB556HCL,147,0.0,390.0,3892.0,3502.0
WD-WXE1AB556JL3,142,0.0,293.0,3675.0,3382.0
WD-WXE1AB5HR5HH,186,0.0,78.0,4514.0,4436.0
WD-WXH1A758N88F,142,0.0,293.0,3675.0,3382.0
WD-WXH1A75HCX2N,191,0.0,244.0,4799.0,4555.0
WD-WXN1E653TM5E,191,0.0,243.0,4799.0,4556.0
WD-WXP1AA53XVUF,186,0.0,78.0,4514.0,4436.0
WD-WXP1AA589JAJ,76,1.0,390.0,2187.0,1797.0
WD-WXP1AA589K5P,142,0.0,294.0,3675.0,3381.0
WD-WXP1AA589VE9,147,0.0,388.0,3890.0,3502.0
WD-WXP1E658YALD,147,0.0,389.0,3890.0,3501.0
WD-WXP1E6596P7N,112,0.0,445.0,3299.0,2854.0
WD-WXP1E65CEHNH,191,0.0,244.0,4800.0,4556.0
WD-WXP1E65D8NRX,191,0.0,244.0,4801.0,4557.0
WD-WXP1E65EAP7R,191,0.0,244.0,4800.0,4556.0
WD-WXP1E757NVE4,147,0.0,389.0,3890.0,3501.0
WD-WXQ1AA541HX5,191,0.0,244.0,4800.0,4556.0
WD-WXQ1AA587C23,191,0.0,243.0,4800.0,4557.0
WD-WXQ1AA5LELPE,186,0.0,78.0,4514.0,4436.0
WD-WXQ1E658YYHY,191,0.0,243.0,4800.0,4557.0
WD-WXR1AA510869,191,0.0,244.0,4800.0,4556.0
WD-WXR1AA510H91,142,0.0,293.0,3675.0,3382.0
WD-WXR1E650H5RV,191,0.0,245.0,4801.0,4556.0
WD-WXR1E651AXH2,147,0.0,388.0,3889.0,3501.0
WD-WXR1E6538FPF,142,0.0,59.0,2482.0,2423.0
WD-WXR1E653R21F,142,0.0,59.0,2483.0,2424.0
