serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WX11A14L5809,476,1.0,59.0,11472.0,11413.0
WD-WX11A15RK3D6,615,0.0,71.0,15376.0,15305.0
WD-WX11A15RKCN5,624,0.0,71.0,15375.0,15304.0
WD-WX11A15RKCPJ,630,0.0,29.0,15158.0,15129.0
WD-WX11A15RKX2J,619,0.0,103.0,14942.0,14839.0
WD-WX11A24L0247,962,0.0,85.0,23173.0,23088.0
WD-WX11A24W2767,570,1.0,32.0,13746.0,13714.0
WD-WX11A74D0LK9,826,0.0,6.0,19833.0,19827.0
WD-WX11A74PSAHF,820,0.0,29.0,19712.0,19683.0
WD-WX11AA3F9680,893,0.0,106.0,22182.0,22076.0
WD-WX11AB3L9364,971,0.0,82.0,23553.0,23471.0
WD-WX11E83J1806,1047,0.0,79.0,25177.0,25098.0
WD-WX21A2457579,897,1.0,8.0,21804.0,21796.0
WD-WX21A2458315,929,0.0,9.0,22427.0,22418.0
WD-WX21A24M0970,949,0.0,30.0,22832.0,22802.0
WD-WX21A35A9U5H,31,0.0,197.0,916.0,719.0
WD-WX21AA41A6C5,718,0.0,56.0,17270.0,17214.0
WD-WX21AA41A6YH,712,0.0,59.0,17128.0,17069.0
WD-WX21AA41AEVE,702,0.0,109.0,16938.0,16829.0
WD-WX21AB3C2873,1008,0.0,32.0,24222.0,24190.0
WD-WX21EC3VZ714,895,1.0,9.0,22042.0,22033.0
WD-WX31A2453975,631,0.0,7.0,17679.0,17672.0
WD-WX31A2464044,868,1.0,78.0,21206.0,21128.0
WD-WX31A356P1DC,205,0.0,78.0,4970.0,4892.0
WD-WX31A356PH9Y,314,0.0,82.0,7634.0,7552.0
WD-WX31A356PK9Y,327,0.0,255.0,8071.0,7816.0
WD-WX31A35H8288,267,0.0,159.0,6537.0,6378.0
WD-WX31A35H88XA,31,0.0,181.0,900.0,719.0
WD-WX31A35H8SDR,205,0.0,79.0,4971.0,4892.0
WD-WX31A35H8THY,306,0.0,54.0,7463.0,7409.0
WD-WX31A35H8X89,205,0.0,78.0,4971.0,4893.0
WD-WX31AA4D4FAU,689,0.0,84.0,16602.0,16518.0
WD-WX31AA4D4S0Z,702,0.0,108.0,16938.0,16830.0
WD-WX31AA4D4UU4,688,0.0,29.0,16545.0,16516.0
WD-WX41A14R4797,991,0.0,56.0,24055.0,23999.0
WD-WX41A14U5170,741,2.0,8.0,18066.0,18058.0
WD-WX41A158ET1D,619,0.0,103.0,14945.0,14842.0
WD-WX41A2451270,918,0.0,31.0,22229.0,22198.0
WD-WX41A2459581,866,1.0,7.0,20942.0,20935.0
WD-WX41A356N1S4,552,1.0,99.0,13909.0,13810.0
WD-WX41A356N317,327,0.0,275.0,8091.0,7816.0
WD-WX41A356N3JV,327,0.0,255.0,8070.0,7815.0
WD-WX41A356N3KV,437,0.0,343.0,10846.0,10503.0
WD-WX41A356N3L3,205,0.0,79.0,4971.0,4892.0
WD-WX41A356N45T,327,0.0,255.0,8071.0,7816.0
WD-WX41A356N5N1,205,0.0,61.0,4954.0,4893.0
WD-WX41A356N62D,205,0.0,78.0,4971.0,4893.0
WD-WX41A356N7LH,386,0.0,425.0,9775.0,9350.0
WD-WX41A356NAHY,569,0.0,263.0,13961.0,13698.0
WD-WX41A356ND9T,483,0.0,6.0,11611.0,11605.0
WD-WX41A356NJTX,493,0.0,10.0,11854.0,11844.0
WD-WX41A356NL78,327,0.0,255.0,8071.0,7816.0
WD-WX41A356NR9V,490,0.0,152.0,11901.0,11749.0
WD-WX41A356NS4H,327,0.0,275.0,8091.0,7816.0
WD-WX41A356NSDD,327,0.0,256.0,8070.0,7814.0
WD-WX41A356NT50,327,0.0,273.0,8089.0,7816.0
WD-WX41A356NVLX,205,0.0,78.0,4971.0,4893.0
WD-WX41A356NXDU,267,0.0,158.0,6536.0,6378.0
WD-WX41A356NYXT,327,0.0,256.0,8072.0,7816.0
WD-WX41A356NZ8V,205,0.0,78.0,4967.0,4889.0
WD-WX41A3575530,205,0.0,78.0,4970.0,4892.0
WD-WX41A3575894,267,0.0,175.0,6552.0,6377.0
WD-WX41A357596H,569,0.0,264.0,13961.0,13697.0
WD-WX41A3575AHK,186,0.0,78.0,4514.0,4436.0
WD-WX41A3575F6Z,205,0.0,77.0,4969.0,4892.0
WD-WX41A3575J2P,205,0.0,78.0,4970.0,4892.0
WD-WX41A3575SAT,483,0.0,6.0,11611.0,11605.0
WD-WX41A3575U51,569,0.0,265.0,13963.0,13698.0
