serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCAV34077460,775,0.0,30576.0,48706.0,18130.0
WD-WCAV36480138,103,0.0,32764.0,35190.0,2426.0
WD-WCAV36480469,394,1.0,30438.0,39709.0,9271.0
WD-WCAV36480881,814,1.0,32430.0,51944.0,19514.0
WD-WCAV36662211,591,0.0,32947.0,46809.0,13862.0
WD-WCAV37152531,771,0.0,29550.0,47686.0,18136.0
WD-WCAV37152629,675,0.0,32026.0,47846.0,15820.0
WD-WCAV37170588,259,0.0,25063.0,31185.0,6122.0
WD-WCAV37170640,235,1.0,30390.0,35873.0,5483.0
WD-WCAV39016131,688,1.0,24927.0,41032.0,16105.0
WD-WCAV39022268,174,1.0,25000.0,29038.0,4038.0
WD-WCAV39037700,63,1.0,30736.0,32217.0,1481.0
WD-WCAV39090455,385,1.0,29599.0,38610.0,9011.0
WD-WCAV39094144,212,0.0,29560.0,34460.0,4900.0
WD-WCAV39094321,734,0.0,30608.0,47879.0,17271.0
WD-WCAV39124230,759,0.0,25126.0,42844.0,17718.0
WD-WCAV39193755,401,1.0,25024.0,34485.0,9461.0
WD-WCAV39234132,357,1.0,24833.0,33366.0,8533.0
WD-WCAV39234175,673,0.0,24454.0,40205.0,15751.0
WD-WCAV39762634,702,0.0,25137.0,41583.0,16446.0
WD-WCAV39762819,552,1.0,25184.0,38054.0,12870.0
WD-WCAV3C725583,292,1.0,22703.0,29573.0,6870.0
WD-WCAV3E750909,409,0.0,4898.0,14694.0,9796.0
