serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCAV3E949763,212,0.0,12938.0,18229.0,5291.0
WD-WCAV3E973232,459,0.0,17131.0,28195.0,11064.0
WD-WCAV3E973409,795,1.0,17604.0,36799.0,19195.0
WD-WCAV3E974471,102,1.0,17321.0,19738.0,2417.0
WD-WCAV3E974559,799,1.0,16831.0,36023.0,19192.0
WD-WCAV3E974949,195,0.0,17103.0,21745.0,4642.0
WD-WCAV3E974954,207,0.0,16823.0,21830.0,5007.0
WD-WCAV3E997581,326,0.0,16903.0,24714.0,7811.0
WD-WCAV3E998149,227,0.0,17026.0,22510.0,5484.0
WD-WCAV3E998185,186,0.0,16760.0,21190.0,4430.0
WD-WCAV3E998207,187,0.0,16986.0,21489.0,4503.0
WD-WCAV3E999246,236,0.0,17136.0,22763.0,5627.0
WD-WMAV3J872643,813,1.0,16213.0,35744.0,19531.0
WD-WMAV3J875025,800,1.0,16259.0,35478.0,19219.0
WD-WMAV3J876642,814,1.0,16127.0,35682.0,19555.0
WD-WMAV3J876734,230,0.0,16256.0,21739.0,5483.0
WD-WMAV3J877106,813,1.0,16216.0,35747.0,19531.0
WD-WMAV3J877122,808,1.0,16153.0,35563.0,19410.0
WD-WMAV3J877125,797,1.0,16103.0,35321.0,19218.0
WD-WMAV3J935541,810,1.0,16128.0,35707.0,19579.0
WD-WMAV3J935769,164,0.0,16257.0,20185.0,3928.0
WD-WMAV3J935856,811,1.0,16152.0,35707.0,19555.0
WD-WMAV3J935867,207,0.0,16256.0,21188.0,4932.0
WD-WMAV3J935938,158,0.0,15410.0,19170.0,3760.0
WD-WMAV3J935939,159,0.0,15444.0,19248.0,3804.0
WD-WMAV3J935956,800,1.0,16126.0,35344.0,19218.0
WD-WMAV3J935957,797,1.0,16133.0,35353.0,19220.0
WD-WMAV3J935959,807,1.0,16157.0,35568.0,19411.0
WD-WMAV3J935982,807,1.0,16154.0,35685.0,19531.0
WD-WMAV3J935984,177,0.0,16255.0,20542.0,4287.0
