serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WCAMD1351916,246,0.0,66091.0,71958.0,5867.0
WD-WCAMD1368924,292,1.0,44481.0,51482.0,7001.0
WD-WCAMD1582603,224,0.0,36392.0,41732.0,5340.0
WD-WCAMD1587919,739,1.0,67271.0,85488.0,18217.0
WD-WCAMD1671734,801,1.0,48559.0,67744.0,19185.0
WD-WCAMD1727282,416,0.0,46905.0,56881.0,9976.0
WD-WCAMD1798048,441,0.0,68731.0,79291.0,10560.0
WD-WCAMD1854163,374,0.0,77487.0,86465.0,8978.0
WD-WCAMD1871522,466,0.0,66250.0,77406.0,11156.0
WD-WCAMD1891550,501,0.0,66614.0,78623.0,12009.0
WD-WCAMD1900618,67,0.0,68262.0,69843.0,1581.0
WD-WCAMD2084795,501,0.0,55470.0,67497.0,12027.0
WD-WCAMD2092557,425,0.0,64251.0,74438.0,10187.0
WD-WCAMD2151231,374,0.0,72479.0,81446.0,8967.0
WD-WCAMD2154739,311,0.0,58894.0,66336.0,7442.0
WD-WCAMD2252340,457,1.0,130274.0,141415.0,11141.0
WD-WCAMD2323176,755,1.0,66746.0,84882.0,18136.0
WD-WCAMD2428210,503,0.0,70721.0,82785.0,12064.0
WD-WCAMD2440744,235,0.0,69217.0,74823.0,5606.0
WD-WCAMD2603237,105,1.0,133602.0,137899.0,4297.0
WD-WCAMD2757644,507,0.0,54065.0,66201.0,12136.0
WD-WCAMD2817456,51,0.0,161929.0,163730.0,1801.0
WD-WCAMD2818736,434,0.0,58947.0,69338.0,10391.0
WD-WCAMD2819726,500,0.0,102243.0,114239.0,11996.0
WD-WCAMD2915597,501,0.0,66942.0,78932.0,11990.0
WD-WCAMD2920007,445,0.0,58461.0,69129.0,10668.0
WD-WCAMD2945611,502,0.0,70315.0,82322.0,12007.0
WD-WCAMD3184748,729,1.0,60734.0,78241.0,17507.0
WD-WCAMD3193516,405,0.0,39399.0,49117.0,9718.0
WD-WCAMD3267912,503,0.0,49935.0,61972.0,12037.0
WD-WCAMD3298843,758,1.0,70254.0,88492.0,18238.0
WD-WCAMD3303664,501,0.0,61659.0,73651.0,11992.0
WD-WCAMD3404347,503,0.0,44937.0,57002.0,12065.0
WD-WCAMD3752492,501,0.0,63036.0,75017.0,11981.0
WD-WCAMD3936828,63,1.0,42865.0,44962.0,2097.0
WD-WCAMD4086990,434,0.0,71975.0,82384.0,10409.0
WD-WMAM9CSX9870,419,0.0,43124.0,53180.0,10056.0
WD-WMAM9CSY2505,65,1.0,42848.0,44383.0,1535.0
WD-WMAM9CTA7839,625,0.0,41119.0,56160.0,15041.0
WD-WMAM9CVE8829,345,0.0,12189.0,15145.0,2956.0
WD-WMAM9CVE9597,385,0.0,50374.0,59614.0,9240.0
WD-WMAM9CVF1452,336,0.0,21126.0,25253.0,4127.0
WD-WMAM9CVY5649,399,0.0,44395.0,53969.0,9574.0
WD-WMAMD1131100,492,1.0,68283.0,80062.0,11779.0
WD-WMAMD1850685,631,1.0,51250.0,66358.0,15108.0
WD-WMAMD1874894,390,0.0,60518.0,69889.0,9371.0
WD-WMAMD2316996,451,0.0,67475.0,78264.0,10789.0
WD-WMAMD2328577,501,0.0,47033.0,59061.0,12028.0
WD-WMAMD3393623,290,0.0,50169.0,57122.0,6953.0
WD-WMAMD3872564,370,0.0,59635.0,68503.0,8868.0
WD-WMAMD3916803,615,0.0,46297.0,61034.0,14737.0
WD-WMAMD9386158,440,0.0,43118.0,53676.0,10558.0
WD-WMAMD9387186,395,0.0,38624.0,48089.0,9465.0
WD-WMAMD9389653,433,0.0,43124.0,53522.0,10398.0
WD-WMAMD9390735,252,0.0,40498.0,46518.0,6020.0
WD-WMAMD9449528,252,0.0,41754.0,45261.0,3507.0
