serial_number,n_obs,failure,runtime_min,runtime_max,uptime
WD-WMAM9DJU9637,653,1.0,39906.0,55633.0,15727.0
WD-WMAM9DRH1880,452,1.0,38178.0,49089.0,10911.0
WD-WMAM9DRJ9680,754,1.0,38750.0,56941.0,18191.0
WD-WMAM9DRK0204,486,0.0,40449.0,52092.0,11643.0
WD-WMAM9DRK0303,473,0.0,39096.0,49227.0,10131.0
WD-WMAM9DRK2424,759,1.0,36596.0,54848.0,18252.0
WD-WMAM9DRL0100,472,0.0,36787.0,48106.0,11319.0
WD-WMAM9DRL1721,488,0.0,37132.0,47253.0,10121.0
WD-WMAM9DSH9912,766,1.0,39911.0,59759.0,19848.0
WD-WMAM9DSU3530,479,0.0,40556.0,52018.0,11462.0
WD-WMAM9DSU3956,473,0.0,39557.0,50877.0,11320.0
WD-WMAM9DSU5450,609,1.0,39185.0,53901.0,14716.0
WD-WMAM9DSU5610,311,0.0,41956.0,49413.0,7457.0
WD-WMAM9DTN4289,489,0.0,39427.0,45275.0,5848.0
WD-WMAM9DTN4477,490,0.0,39574.0,51317.0,11743.0
WD-WMAM9DVS9585,502,0.0,38740.0,50786.0,12046.0
WD-WMAM9DVS9705,462,0.0,36635.0,47714.0,11079.0
WD-WMAM9DVT0203,765,1.0,36454.0,54829.0,18375.0
WD-WMAM9DVT0282,500,0.0,38848.0,49758.0,10910.0
